"package","installed","version","repository"
"arrow",TRUE,"22.0.0",NA
"BiocParallel",TRUE,"1.44.0",NA
"biovizBase",TRUE,"1.58.0",NA
"BSgenome.Hsapiens.UCSC.hg38",TRUE,"1.4.5",NA
"BSgenome.Mmusculus.UCSC.mm10",TRUE,"1.4.3",NA
"CellChat",TRUE,"2.2.0",NA
"chromVAR",TRUE,"1.32.0",NA
"cluster",TRUE,"2.1.8.1",NA
"clustree",TRUE,"0.5.1",NA
"coloc",TRUE,"5.2.3",NA
"cowplot",TRUE,"1.2.0",NA
"data.table",TRUE,"1.17.8",NA
"decontX",TRUE,"1.8.0",NA
"dplyr",TRUE,"1.2.1",NA
"edgeR",TRUE,"4.8.0",NA
"enrichR",TRUE,"3.4",NA
"EnsDb.Hsapiens.v75",TRUE,"2.99.0",NA
"EnsDb.Hsapiens.v86",TRUE,"2.99.0",NA
"future",TRUE,"1.68.0",NA
"GenomeInfoDb",TRUE,"1.46.1",NA
"GenomicRanges",TRUE,"1.62.0",NA
"gghalves",TRUE,"0.1.4",NA
"ggplot2",TRUE,"4.0.3",NA
"ggpubr",TRUE,"0.6.2",NA
"ggrepel",TRUE,"0.9.8",NA
"ggVennDiagram",TRUE,"1.5.6",NA
"glmGamPoi",TRUE,"1.22.0",NA
"harmony",TRUE,"1.2.4",NA
"hdWGCNA",TRUE,"0.4.08",NA
"igraph",TRUE,"2.2.1",NA
"JASPAR2024",TRUE,"0.99.7",NA
"limma",TRUE,"3.66.0",NA
"locuscomparer",TRUE,"1.0.0",NA
"locuszoomr",TRUE,"0.3.8",NA
"magick",TRUE,"2.9.1",NA
"magrittr",TRUE,"2.0.4",NA
"Matrix",TRUE,"1.7-4",NA
"monocle3",TRUE,"1.4.26",NA
"motifmatchr",TRUE,"1.32.0",NA
"patchwork",TRUE,"1.3.2",NA
"presto",TRUE,"1.0.0",NA
"purrr",TRUE,"1.2.0",NA
"R.utils",TRUE,"2.13.0",NA
"readxl",TRUE,"1.4.5",NA
"Rsamtools",TRUE,"2.26.0",NA
"RSQLite",TRUE,"2.4.5",NA
"scater",TRUE,"1.38.0",NA
"scDblFinder",TRUE,"1.24.0",NA
"scProportionTest",TRUE,"0.0.0.9000",NA
"scuttle",TRUE,"1.20.0",NA
"Seurat",TRUE,"5.3.1",NA
"Signac",TRUE,"1.16.0",NA
"spatstat.explore",TRUE,"3.6-0",NA
"spatstat.geom",TRUE,"3.6-1",NA
"stringr",TRUE,"1.6.0",NA
"susieR",TRUE,"0.14.2",NA
"TFBSTools",TRUE,"1.48.0",NA
"tibble",TRUE,"3.3.1",NA
"tidyr",TRUE,"1.3.2",NA
"tidyverse",TRUE,"2.0.0",NA
"UCell",TRUE,"2.14.0",NA
"viridis",TRUE,"0.6.5",NA
"WGCNA",TRUE,"1.73",NA
"writexl",TRUE,"2.0.1",NA
"xgboost",TRUE,"3.1.2.1",NA
