sample	scDblFinder.class	total_count	percent
Aged_1	singlet	6459	89.61%
Aged_1	doublet	749	10.39%
Aged_2	singlet	4522	92.61%
Aged_2	doublet	361	7.39%
Aged_3	singlet	2595	95.69%
Aged_3	doublet	117	4.31%
Aged_4	singlet	3603	94.1%
Aged_4	doublet	226	5.9%
Aged_5	singlet	1849	96.3%
Aged_5	doublet	71	3.7%
Young_1	singlet	5114	91.93%
Young_1	doublet	449	8.07%
Young_2	singlet	4256	93.6%
Young_2	doublet	291	6.4%
Young_3	singlet	5491	90.58%
Young_3	doublet	571	9.42%
Young_4	singlet	3782	94.64%
Young_4	doublet	214	5.36%
Young_5	singlet	6034	92.59%
Young_5	doublet	483	7.41%
