"","gene","p_val","p_val_adj","avg_log2FC","celltype"
"GALNTL6","GALNTL6",0,1e-04,7.44,"MSM"
"MECOM","MECOM",0,2e-04,8.71,"FAP1"
"NCAM2","NCAM2",0,5e-04,3.79,"SMC1"
"CCN5","CCN5",0,5e-04,7.5,"SMC1"
"TNFAIP2","TNFAIP2",0,8e-04,3,"SMC1"
"SMOC2","SMOC2",0,8e-04,2.59,"SMC1"
"ABCA8","ABCA8",0,8e-04,4.13,"SMC1"
"EPHA6...8","EPHA6",0,0.001,3.19,"FAP1"
"IGFBP6","IGFBP6",0,0.0012,3,"SMC1"
"SNED1...10","SNED1",0,0.0012,2.75,"SMC1"
"COL19A1","COL19A1",0,0.0013,7.57,"MSM"
"ABCA10","ABCA10",0,0.0013,3.39,"SMC1"
"AL110292.1","AL110292.1",0,0.0013,7.49,"SMC1"
"SLC39A14","SLC39A14",0,0.0014,2.85,"SMC1"
"DNAH11","DNAH11",0,0.0016,4.72,"MSM"
"AP001042.1","AP001042.1",0,0.0016,4.43,"MSM"
"EFCAB7","EFCAB7",0,0.0017,5.05,"MSM"
"AC117464.1","AC117464.1",0,0.0017,6.68,"MSM"
"DLEU2L","DLEU2L",0,0.0022,5.26,"MSM"
"PDZRN4...20","PDZRN4",0,0.0023,7.76,"SMC1"
"XYLT1","XYLT1",0,0.0024,3.14,"SMC1"
"KAZN...22","KAZN",0,0.0024,2.52,"SMC1"
"ERI2...23","ERI2",0,0.0024,3.55,"SMC1"
"GSN","GSN",0,0.0024,2.63,"SMC1"
"LINC00968","LINC00968",0,0.0024,4.68,"SMC1"
"KCNMB2","KCNMB2",0,0.0024,4.82,"SMC1"
"SSPN","SSPN",0,0.0025,1.71,"SMC1"
"HSPA5","HSPA5",0,0.0025,1.73,"SMC1"
"FBLN1","FBLN1",0,0.0027,2.07,"SMC1"
"NNMT...30","NNMT",0,0.0027,3.04,"SMC1"
"LINC00963","LINC00963",0,0.0027,2.16,"SMC1"
"LRRK1","LRRK1",0,0.0027,2.1,"SMC1"
"RDH10","RDH10",0,0.0027,2.11,"SMC1"
"AGTR1","AGTR1",0,0.0027,2.13,"SMC1"
"CXCL2...35","CXCL2",0,0.0027,3.07,"SMC1"
"SPSB1","SPSB1",0,0.0027,3.02,"SMC1"
"CCDC80","CCDC80",0,0.0027,2.63,"SMC1"
"FREM1","FREM1",0,0.0027,4.98,"SMC1"
"WNT5A","WNT5A",0,0.0027,4.78,"SMC1"
"LRRC4C","LRRC4C",0,0.0027,5.2,"SMC1"
"SLITRK4","SLITRK4",0,0.0027,5.02,"SMC1"
"PTGFR...42","PTGFR",0,0.0027,5.67,"SMC1"
"CPXM2","CPXM2",0,0.0027,5.41,"SMC1"
"MT-CO3","MT-CO3",2e-04,0.0027,1.61,"FAP4"
"TENM2","TENM2",0,0.0028,7.24,"MSM"
"KAZN...46","KAZN",0,0.0028,2.51,"MuSC"
"TEX26-AS1","TEX26-AS1",0,0.0028,2.41,"SMC1"
"LINC00882","LINC00882",0,0.0028,1.71,"SMC1"
"CA13","CA13",0,0.003,1.57,"SMC1"
"ALPK1...50","ALPK1",0,0.003,1.68,"SMC1"
"AC007389.1","AC007389.1",0,0.003,3.29,"SMC1"
"C1S...52","C1S",0,0.003,1.73,"SMC1"
"RNF19A","RNF19A",0,0.003,1.92,"SMC1"
"KCND2","KCND2",0,0.003,5.53,"SMC1"
"LINC00513","LINC00513",0,0.003,1.31,"SMC1"
"XG","XG",0,0.003,4.44,"SMC1"
"SLPI...57","SLPI",0,0.0031,4.13,"FAP1"
"BTBD19","BTBD19",0,0.0032,1.73,"SMC1"
"ABCA6","ABCA6",0,0.0032,4.42,"SMC1"
"SOD2...60","SOD2",0,0.0032,3.35,"SMC1"
"ARHGAP24","ARHGAP24",0,0.0032,4.2,"SMC1"
"CTSL","CTSL",0,0.0032,1.73,"SMC1"
"AL357507.1","AL357507.1",0,0.0032,6.1,"SMC1"
"GFPT2","GFPT2",0,0.0033,3.04,"SMC1"
"SQSTM1","SQSTM1",0,0.0033,1.6,"SMC1"
"PDGFRL","PDGFRL",0,0.0035,2.27,"SMC1"
"LYRM1","LYRM1",0,0.0035,2.09,"SMC1"
"SELENOP","SELENOP",0,0.0035,1.63,"SMC1"
"GAS1","GAS1",0,0.0035,3.57,"SMC1"
"DIO2","DIO2",0,0.0035,4.6,"SMC1"
"MME","MME",0,0.0035,3.13,"SMC1"
"OPHN1","OPHN1",0,0.0035,1.72,"SMC1"
"EDA","EDA",0,0.0035,1.72,"SMC1"
"LRP1","LRP1",0,0.0035,2.22,"SMC1"
"NLGN4Y","NLGN4Y",0,0.0035,4.87,"SMC1"
"NFKB1","NFKB1",0,0.0035,2.75,"SMC1"
"MRC2","MRC2",0,0.0035,2.96,"SMC1"
"RTL1","RTL1",0,0.0035,4.64,"SMC1"
"AP002784.1","AP002784.1",1e-04,0.0038,2.34,"SMC1"
"RGS2","RGS2",1e-04,0.0038,1.98,"SMC1"
"UAP1","UAP1",1e-04,0.0038,1.71,"SMC1"
"FBN1","FBN1",1e-04,0.0038,2.19,"SMC1"
"PLAGL1","PLAGL1",1e-04,0.004,1.7,"SMC1"
"AC005237.1","AC005237.1",1e-04,0.0041,2.24,"SMC1"
"VIT","VIT",1e-04,0.0041,5.4,"SMC1"
"CFH","CFH",1e-04,0.0041,3.84,"SMC1"
"SERPING1","SERPING1",1e-04,0.0041,1.37,"SMC1"
"UGDH...88","UGDH",1e-04,0.0041,1.91,"SMC1"
"AL157829.1","AL157829.1",0,0.0042,4.63,"MSM"
"PCSK6","PCSK6",1e-04,0.0042,5.56,"SMC1"
"AP002518.2","AP002518.2",1e-04,0.0042,2.35,"SMC1"
"WTAP","WTAP",1e-04,0.0045,1.68,"SMC1"
"MDM2","MDM2",0,0.0047,3.06,"MSM"
"AC108734.4","AC108734.4",1e-04,0.0047,4.96,"SMC1"
"PLAU","PLAU",1e-04,0.0047,2.84,"SMC1"
"SNX7","SNX7",0,0.0048,5.2,"MSM"
"AC079447.1","AC079447.1",1e-04,0.0048,2.18,"SMC1"
"ABCA9-AS1","ABCA9-AS1",1e-04,0.0048,3.91,"SMC1"
"DPP6","DPP6",1e-04,0.0048,5.18,"SMC1"
"AL445250.1","AL445250.1",1e-04,0.0049,3.26,"SMC1"
"MARCH1","MARCH1",0,0.005,5,"MSM"
"SCARA5...102","SCARA5",1e-04,0.005,4.86,"SMC1"
"AC004160.1","AC004160.1",0,0.0051,2.72,"FAP3"
"LPCAT2","LPCAT2",1e-04,0.0051,3.68,"SMC1"
"IQCN","IQCN",1e-04,0.0052,2.3,"SMC1"
