"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module","Comparisons"
0,-0.678444061244727,1,1,0,"green","Aged_vs_Young"
2.27693277579956e-269,0.496939372773501,1,0.999,2.50462605337952e-268,"red","Aged_vs_Young"
2.42169802449217e-269,-0.489971546222388,0.999,1,2.66386782694139e-268,"turquoise","Aged_vs_Young"
3.41805049848695e-265,0.525228157217635,0.998,0.997,3.75985554833564e-264,"brown","Aged_vs_Young"
3.2134151624032e-204,-0.307648127614698,1,1,3.53475667864352e-203,"purple","Aged_vs_Young"
5.51534474683827e-169,2.55194563579641,0.603,0.387,6.0668792215221e-168,"yellow","Aged_vs_Young"
4.30469795284169e-154,1.22579276339156,0.768,0.61,4.73516774812585e-153,"blue","Aged_vs_Young"
1.36238177098385e-145,0.327044008725637,1,1,1.49861994808224e-144,"greenyellow","Aged_vs_Young"
1.84865169434708e-130,-0.369418084296558,0.998,0.997,2.03351686378179e-129,"magenta","Aged_vs_Young"
6.93177685764684e-53,-0.0562952625062867,1,1,7.62495454341152e-52,"pink","Aged_vs_Young"
1.54287027651466e-23,-0.78403483740267,0.736,0.757,1.69715730416612e-22,"black","Aged_vs_Young"
