"","gene_name","module","kME"
"1","ADGRF5","pink",0.878347518081709
"2","ST6GALNAC3","pink",0.853138094372195
"3","VWF","pink",0.842569453781492
"4","ERG","pink",0.835108443079578
"5","FLT1","pink",0.83034009903501
"6","MCTP1","pink",0.819386651771237
"7","ANO2","pink",0.809726929679046
"8","PLEKHG1","pink",0.77506812910308
"9","ADAMTS9","pink",0.734222434871605
"10","PTPRB","pink",0.719289986040014
"11","SUPT5H","blue",0.710150222772243
"12","SELENOV","blue",0.659100613450883
"13","MAST1","blue",0.635236732152319
"14","RAB44","blue",0.634328476413463
"15","AL033523.1","blue",0.613885718601163
"16","PLB1","blue",0.613381524318761
"17","STYK1","blue",0.613280091216698
"18","DLL3","blue",0.607956949879466
"19","AC116366.2","blue",0.600809707629604
"20","SLC2A14","blue",0.596232847276333
"21","CRTAC1","yellow",0.86482450888707
"22","ZNF385B","yellow",0.835875335492308
"23","ITGB8","yellow",0.7894782493402
"24","KYNU","yellow",0.783562755962311
"25","VCAM1","yellow",0.740482966742215
"26","MYPN","yellow",0.737638901869068
"27","VEGFC","yellow",0.69595051097059
"28","CLIC5","yellow",0.681939385389445
"29","CFI","yellow",0.677837499489595
"30","SORBS2","yellow",0.655761232825923
"31","NFIA","turquoise",0.563213909436845
"32","ABCA10","turquoise",0.556118312452903
"33","ABCA6","turquoise",0.546963243429994
"34","LAMA2","turquoise",0.528162229414508
"35","SCN7A","turquoise",0.521844623127272
"36","ABCA8","turquoise",0.516071495318819
"37","COL15A1","turquoise",0.509514940255705
"38","TCF4","turquoise",0.508413914118863
"39","ABCA9","turquoise",0.470599652070447
"40","EBF2","turquoise",0.463674054724196
"41","SLC4A7","brown",0.692748505720025
"42","CD44","brown",0.687275612225128
"43","TRIO","brown",0.657449275791756
"44","ATP13A3","brown",0.648262241617024
"45","CYTOR","brown",0.642783099674501
"46","USP12","brown",0.638988509271069
"47","GFPT2","brown",0.629437511288184
"48","ABL2","brown",0.620462243082906
"49","NFKB1","brown",0.619595602300002
"50","CXCL2","brown",0.609343634242121
"51","IRF1","red",0.575700625310207
"52","NAMPT","red",0.528647278877837
"53","CRISPLD2","red",0.506403233635105
"54","NABP1","red",0.483027494359697
"55","ADAMTS4","red",0.449387566503016
"56","SEMA4A","red",0.445027008298818
"57","NR4A3","red",0.431096019934516
"58","IFI16","red",0.42651095489029
"59","NEAT1","red",0.425009213275346
"60","CEMIP2","red",0.420016115331592
"61","TNMD","black",0.757432799451319
"62","PIEZO2","black",0.712585653485809
"63","POSTN","black",0.648118658960483
"64","KCNMA1","black",0.559445428589779
"65","LINC02008","black",0.551888630409443
"66","RBM20","black",0.545534831475292
"67","ITGA10","black",0.513865235896721
"68","IGFBP2","black",0.50574423760887
"69","COL22A1","black",0.504915117865241
"70","CADM1","black",0.502126276468987
"71","MFAP5","greenyellow",0.664540976544872
"72","ADAMTS5","greenyellow",0.572665684153553
"73","FBN1","greenyellow",0.555949021729276
"74","CD248","greenyellow",0.555338246882853
"75","FSTL1","greenyellow",0.547364797407416
"76","TNXB","greenyellow",0.516034926258803
"77","NTM","greenyellow",0.481971505860946
"78","PXDNL","greenyellow",0.471425908199201
"79","DOCK4","greenyellow",0.467355611828368
"80","PAMR1","greenyellow",0.466091406357478
"81","COL3A1","green",0.745560136462343
"82","COL1A1","green",0.720930807141008
"83","COL1A2","green",0.708843513866508
"84","SPARC","green",0.647120878436493
"85","MXRA5","green",0.62688533791853
"86","COL6A1","green",0.593328329244428
"87","COL6A3","green",0.536140783669956
"88","COL6A2","green",0.497996815168038
"89","ANGPTL1","green",0.491340922355896
"90","LUM","green",0.486138023546705
"91","COL4A1","purple",0.470943090401464
"92","EMP1","purple",0.463653771416511
"93","NCALD","purple",0.46105890894089
"94","ELOVL5","purple",0.398084835754543
"95","AKAP13","purple",0.38334316477577
"96","GASK1B","purple",0.371601625331852
"97","LDLR","purple",0.370673515534013
"98","SEPTIN11","purple",0.362977090682053
"99","COL4A2","purple",0.362566817226035
"100","NCAM2","purple",0.346739764133853
"101","FOS","magenta",0.761067101310413
"102","HSPA1A","magenta",0.713354891011967
"103","DNAJB1","magenta",0.683763631041519
"104","HSPA1B","magenta",0.676923531096449
"105","JUN","magenta",0.669466882021046
"106","JUNB","magenta",0.658602118348656
"107","FOSB","magenta",0.651932102587355
"108","EGR1","magenta",0.644653196847773
"109","ATF3","magenta",0.629902077948053
"110","ZFP36","magenta",0.6161399145122
