gene,Yellow_Module,Brown_Module,Blue_Module,FAP_DEGs_BH,UKB_SMR_BH
AAGAB,0,0,1,0,0
AATK,1,0,0,0,0
ABAT,0,0,1,0,0
ABCA1,0,0,1,0,0
ABCB9,0,0,1,0,0
ABCC4,0,1,0,0,0
ABCC9,0,1,0,0,0
ABHD10,0,0,1,0,0
ABI3BP,0,1,0,0,0
ABL2,0,1,0,0,0
ABR,1,0,0,0,0
AC002070.1,0,1,0,0,0
AC002074.1,1,0,0,0,0
AC002480.2,1,0,0,0,0
AC003991.1,0,0,1,0,0
AC004083.1,0,0,1,0,0
AC004160.1,0,0,0,1,0
AC004917.1,0,0,1,1,0
AC005050.3,0,0,1,0,0
AC005208.1,0,0,1,0,0
AC005291.2,0,1,0,0,0
AC005355.1,0,0,1,0,0
AC005670.3,0,0,1,0,0
AC005759.1,0,0,1,1,0
AC006001.2,0,1,0,0,0
AC006059.5,0,0,1,0,0
AC006230.1,0,0,1,0,0
AC006333.1,0,0,1,0,0
AC006460.2,0,0,0,1,0
AC007262.2,0,0,1,0,0
AC007384.1,0,0,1,0,0
AC008050.1,0,0,1,0,0
AC008250.1,0,1,0,0,0
AC008269.1,0,0,1,0,0
AC008393.1,0,0,1,0,0
AC008397.1,0,0,1,0,0
AC008467.1,0,0,1,0,0
AC008691.1,1,0,0,0,0
AC008875.3,0,0,1,0,0
AC009093.2,0,0,1,0,0
AC009226.1,0,1,0,0,0
AC009262.1,0,0,1,1,0
AC009495.1,0,0,1,0,0
AC009522.1,0,0,1,0,0
AC010168.1,0,0,1,0,0
AC011287.1,1,0,0,0,0
AC011511.5,0,0,0,1,0
AC011997.1,0,1,0,0,0
AC012063.1,0,0,1,0,0
AC012363.1,0,0,1,0,0
AC013652.1,0,1,0,0,0
AC016821.1,1,0,0,0,0
AC016831.1,0,1,0,0,0
AC016831.7,0,1,0,0,0
AC017002.5,0,1,0,0,0
AC017101.1,0,1,0,0,0
AC018754.1,0,0,1,0,0
AC018816.1,0,0,1,0,0
AC019117.2,0,0,1,0,0
AC019131.1,0,1,0,0,0
AC020611.2,0,1,0,0,0
AC020637.1,0,0,1,0,0
AC020651.2,0,0,1,0,0
AC021231.1,0,0,1,0,0
AC021851.2,0,0,1,0,0
AC022075.1,0,0,1,0,0
AC022210.2,0,0,1,0,0
AC022276.1,0,0,1,0,0
AC022509.2,0,1,0,0,0
AC022816.1,1,0,0,0,0
AC023355.1,0,0,1,1,0
AC023424.3,0,1,0,0,0
AC023509.6,0,0,1,0,0
AC023790.2,0,0,1,0,0
AC025159.1,0,0,1,0,0
AC025259.1,0,0,1,0,0
AC025470.2,0,0,0,1,0
AC025569.1,0,0,1,0,0
AC025580.2,1,0,0,0,0
AC026254.2,0,0,1,0,0
AC026341.1,0,0,1,0,0
AC027288.3,0,1,0,0,0
AC034195.1,0,0,1,0,0
AC037198.1,0,1,0,0,0
AC068051.1,0,0,1,0,0
AC068282.1,0,0,0,1,0
AC073050.1,1,0,0,0,0
AC073475.1,0,0,1,0,0
AC073529.1,0,0,1,0,0
AC078785.1,0,0,1,0,0
AC078923.1,0,0,1,0,0
AC079298.3,0,0,1,0,0
AC079305.3,0,0,1,0,0
AC079447.1,0,0,1,0,0
AC079465.1,1,0,0,0,0
AC079760.1,0,0,1,0,0
AC079760.2,0,0,1,0,0
AC079793.1,0,0,1,0,0
AC079949.3,0,1,0,0,0
AC083837.1,1,0,0,0,0
AC083855.2,0,1,0,0,0
AC084740.1,0,0,1,0,0
AC084816.1,0,0,1,0,0
AC087280.2,0,1,0,0,0
AC087521.3,0,0,1,0,0
AC087645.2,0,0,1,0,0
AC087854.1,0,0,1,0,0
AC090115.1,0,0,1,0,0
AC090517.5,0,0,1,0,0
AC090518.1,0,0,1,0,0
AC090617.5,0,1,0,0,0
AC090825.1,0,0,1,0,0
AC091078.1,0,0,1,0,0
AC091946.1,0,0,1,0,0
AC092153.1,0,0,1,0,0
AC092574.2,0,0,1,0,0
AC092839.1,0,0,0,0,1
AC092910.3,1,0,0,0,0
AC092944.1,0,0,1,0,0
AC093157.1,0,0,1,0,0
AC093675.1,0,0,1,0,0
AC093801.1,1,0,0,0,0
AC093827.4,0,0,1,0,0
AC093865.1,0,0,1,0,0
AC095032.1,0,0,1,0,0
AC096531.2,0,0,0,1,0
AC096564.1,0,1,0,0,0
AC096711.2,0,1,0,0,0
AC097376.3,0,0,1,0,0
AC097460.1,0,0,1,0,0
AC098617.1,0,0,1,0,0
AC098872.1,0,0,1,0,0
AC099489.1,0,0,1,0,0
AC099560.1,0,1,0,0,0
AC103409.1,0,0,1,0,0
AC104041.1,0,0,1,0,0
AC104123.1,0,1,0,0,0
AC104248.1,0,0,1,0,0
AC104574.2,0,0,1,0,0
AC104758.5,0,0,0,1,0
AC106729.1,1,0,0,0,0
AC106791.1,0,0,1,0,0
