"","tf","gene","Gain","Cover","Frequency","Cor"
"1","ALX3","E2F7",0.0954914708038135,0.0912502374060822,0.0912502374060822,0.134045246320352
"2","ALX3","MCM5",0.0715587935127047,0.0601414141414141,0.0601414141414141,0.131421452351549
"3","ALX3","PRC1",0.0467809524271059,0.0501743509293269,0.0501743509293269,0.102842070745757
"4","ALX3","KIF20B",0.0374805316853962,0.054,0.054,0.085612607517073
"5","ALX3","AP1S3",0.0265720122294329,0.0347149168945929,0.0347149168945929,0.103912616171394
"6","ALX3","GSTO2",0.0198249261955336,0.038,0.038,0.141543508066514
"7","ALX3","MAP7D2",0.0182559789105245,0.032,0.032,0.157298904205324
"8","ALX3","LHX6",0.0150722724417282,0.0125387425171309,0.0125387425171309,0.0646307875829983
"9","ALX3","PLEK",0.0136192916405852,0.0170815867980816,0.0170815867980816,0.0152515405690943
"10","ALX3","MCF2L",0.0116570644420054,0.0241632653061225,0.0241632653061225,0.119051083255323
"11","ALX3","RASSF2",0.0104476771778339,0.008,0.008,0.0370376518780315
"12","ALX3","RMDN2",0.0103023278341433,0.028,0.028,0.123390646475921
"13","ALX3","TBC1D8",0.010020379797085,0.026,0.026,0.133431593999227
"14","ARNT","PIP5K1B",0.113314248636085,0.0869565217391304,0.0869565217391304,0.109491553060009
"15","ARNT","RRAGB",0.0914365443398565,0.106,0.106,0.182630008607493
"16","ARNT","ALKBH1",0.085983226917276,0.0801616161616162,0.0801616161616162,0.108498172783099
"17","ARNT","TBR1",0.0774984818861335,0.0543020857627599,0.0543020857627599,0.10737574194607
"18","ARNT","ZSCAN31",0.0754679880589632,0.0406324979226305,0.0406324979226305,0.147752492862155
"19","ARNT","FHOD3",0.0729014321923449,0.06,0.06,0.181646486307558
"20","ARNT","ARHGAP20",0.0724113434152818,0.068,0.068,0.173816776068372
"21","ARNT","CYB5B",0.0643433091770708,0.062,0.062,0.233214309728549
"22","ARNT","THAP1",0.059521753013933,0.0597047329570126,0.0597047329570126,0.161110445088036
"23","ARNT","NHSL1",0.053910599440897,0.074,0.074,0.219649765717203
"24","ARNT","RILPL1",0.0533404693251105,0.072,0.072,0.193039513251375
"25","ARNT","TMEM161B",0.0459478090238412,0.052,0.052,0.206268550600218
"26","ARNT","ADAL",0.0455710832173608,0.0462020202020202,0.0462020202020202,0.129494555953422
"27","ARNT","TLR4",0.0455345865186036,0.062,0.062,0.194427946665971
"28","ARNT","TNXB",0.0453922475166836,0.052,0.052,0.245734714555261
"29","ARNT","MCM9",0.0447522545463191,0.072,0.072,0.221061866995835
"30","ARNT","ZBTB14",0.044520177149789,0.0539097598809335,0.0539097598809335,0.147405207454412
"31","ARNT","KIF20B",0.0442778037254746,0.036,0.036,0.166377943208218
"32","ARNT","PLGRKT",0.0441075531421149,0.064,0.064,0.101643349679692
"33","ARNT","DMRT3",0.040204279839286,0.0501805523082119,0.0501805523082119,0.0887516427618521
"34","ARNT","ADGRG2",0.0399919724392138,0.06,0.06,0.127015724036416
"35","ARNT","TBC1D12",0.0396002795189581,0.054,0.054,0.181645420489552
"36","ARNT","PARP11",0.037084628851879,0.054,0.054,0.184859464939363
"37","ARNT","ZNF281",0.0355651885129767,0.0326543363362215,0.0326543363362215,0.110115631333367
"38","ARNT","RAB7B",0.0344492260066711,0.034,0.034,0.111750473597351
"39","ARNT","ZNF669",0.032488523928864,0.0418139317438055,0.0418139317438055,0.0925938769580072
"40","ARNT","IKZF3",0.0321686700145114,0.0220114423366456,0.0220114423366456,0.0350741600622545
"41","ARNT","VRK2",0.0294862940374495,0.064,0.064,0.268054741398398
"42","ARNT","ZNF418",0.0276843479184251,0.0305667854140816,0.0305667854140816,0.0674248570148865
"43","ARNT","CEPT1",0.0269032863650524,0.052,0.052,0.249548390903558
"44","ARNT","ZNF701",0.025023274807551,0.0324056895485467,0.0324056895485467,0.140059811490165
"45","ARNT","SNAPC3",0.0248828686797089,0.054,0.054,0.207973213348064
"46","ARNT","EEF2K",0.024745725665431,0.096,0.096,0.309015749201038
"47","ARNT","SLC12A6",0.024028458576224,0.088,0.088,0.268176246169079
"48","ARNT","ZNF677",0.0240128494787852,0.0341414141414141,0.0341414141414141,0.140860258900098
"49","ARNT","IRF2",0.0238101177621221,0.02,0.02,0.115550683856185
"50","ARNT","DCAF10",0.0234627655429056,0.052,0.052,0.136259523872245
"51","ARNT","ZNF75D",0.0233989567224308,0.05,0.05,0.203511421659563
"52","ARNT","CLCN3",0.0225341835720058,0.042,0.042,0.188306664058291
"53","ARNT","ZNF682",0.0223972990188929,0.0324257531532755,0.0324257531532755,0.130474471900827
"54","ARNT","ZNF33B",0.0221957557274801,0.0180606060606061,0.0180606060606061,0.129980250061828
"55","ARNT","TBP",0.0220504057893381,0.021505376344086,0.021505376344086,0.0952307144529274
"56","ARNT","HERPUD2",0.0218433996627337,0.05,0.05,0.212329891757189
"57","ARNT","MTM1",0.0216866063949161,0.056,0.056,0.206310661263939
"58","ARNT","OXR1",0.0216678735624338,0.05,0.05,0.196512578927893
"59","ARNT","TGFB2",0.021192177891747,0.03,0.03,-0.166536244872396
"60","ARNT","SV2B",0.0245963028553801,0.062,0.062,-0.154780606272636
"61","ARNT","AATK",0.0284777872269384,0.038,0.038,-0.18302473382088
"62","ARNT","SP140",0.0487859330628186,0.0422136970730321,0.0422136970730321,-0.0811076556691625
"63","ARNT","SPDEF",0.0560064224150912,0.0608751793400287,0.0608751793400287,-0.077976182058896
"64","ARNT2","NHS",0.0494701627020013,0.062,0.062,0.111802222148081
"65","ARNT2","YY2",0.049221778592426,0.0386363636363636,0.0386363636363636,0.0564721587969885
"66","ARNT2","P3H2",0.0285384017177777,0.07,0.07,0.0776126339861795
"67","ARNT2","HS1BP3",0.0238204547412631,0.042,0.042,0.111083876865859
"68","ARNT2","HMOX2",0.0190776998517168,0.024,0.024,0.0670008350923412
"69","ARNT2","ZNF382",0.0165310687499264,0.0341692789968652,0.0341692789968652,0.0933170720054892
"70","ARNT2","ROR1",0.0135336544334038,0.042,0.042,0.20556065214483
"71","ARNT2","PDZRN3",0.0117627588228036,0.03,0.03,0.185853015280612
"72","ATF2","RTN1",0.0777844157045334,0.06,0.06,0.0204382968907379
"73","ATF2","HINFP",0.0599966470956276,0.0454677393667576,0.0454677393667576,0.115984200222348
"74","ATF2","MLF1",0.0561668658249085,0.074,0.074,0.347403379692428
"75","ATF2","ZNF407",0.0495148967177439,0.038,0.038,0.25287435238284
"76","ATF2","DNAJC1",0.0489334201633689,0.034,0.034,0.28708297505155
"77","ATF2","MBNL2",0.0479218536931648,0.054,0.054,0.295568792262137
"78","ATF2","SP2",0.0457612502672555,0.0318500975327819,0.0318500975327819,0.0982289897021611
"79","ATF2","PML",0.0392933379391332,0.044,0.044,0.184758784606439
"80","ATF2","ANKIB1",0.0362191210356241,0.08,0.08,0.299817638334564
"81","ATF2","RCAN2",0.0359616412724609,0.048,0.048,0.284367850676619
"82","ATF2","GABPA",0.0336205069966522,0.04,0.04,0.148635179812879
"83","ATF2","POLR3B",0.0335962303888543,0.076,0.076,0.270591444449663
"84","ATF2","RBM24",0.033254004557317,0.0508491508491508,0.0508491508491508,0.130699019972041
"85","ATF2","DENND2C",0.0319842451577947,0.046,0.046,0.0676326493298562
"86","ATF2","KLF7",0.0313435524456757,0.064,0.064,0.249281286347316
"87","ATF2","VRK2",0.0277642865732578,0.04,0.04,0.218233893841875
"88","ATF2","NFE2",0.0276353377914728,0.0173510342698364,0.0173510342698364,0.0881110174419954
"89","ATF2","CNOT10",0.0272932256718528,0.034,0.034,0.186398418321928
"90","ATF2","ETV4",0.0254418799336027,0.0123290553334736,0.0123290553334736,0.0363246082583893
"91","ATF2","RIMKLB",0.0253392234027124,0.046,0.046,0.103199523020109
"92","ATF2","RAB28",0.0245026806852626,0.06,0.06,0.075772109014439
"93","ATF2","SAT1",0.0235762375441751,0.054,0.054,0.0519510050507175
"94","ATF2","RNLS",0.0228861172827917,0.036,0.036,0.253201945488735
"95","ATF2","ANKRD42",0.0226934355817111,0.052,0.052,0.318631915360952
"96","ATF2","MCM9",0.0226893247713958,0.04,0.04,0.208151636293294
"97","ATF2","TFEB",0.0207725798644949,0.016,0.016,0.195280338489448
"98","ATF2","WHRN",0.0197582035217681,0.046,0.046,0.144450363659001
"99","ATF2","TGFBR1",0.019727832617909,0.038,0.038,0.234820740562891
"100","ATF2","DHX32",0.0191146991834176,0.042,0.042,0.126063829768467
"101","ATF2","VASP",0.0178082263893291,0.054,0.054,0.23275388644528
"102","ATF2","EFCAB13",0.0178198932375612,0.04,0.04,-0.259381329672257
"103","ATF2","HRH1",0.019990111740611,0.036,0.036,-0.36438654275195
"104","ATF2","ARGFX",0.0218664161372985,0.0466699019724856,0.0466699019724856,-0.0343742893751517
"105","ATF2","DIRC3",0.0224087728604633,0.04,0.04,-0.20980855171399
"106","ATF2","CD48",0.0254415802317172,0.0294867531315819,0.0294867531315819,-0.0228086576624875
"107","ATF2","ABR",0.0256539860330993,0.038,0.038,-0.234809616459959
"108","ATF2","PROCR",0.0348841269882191,0.062,0.062,-0.182943877737003
"109","ATF2","IL6",0.0364568009334073,0.036,0.036,-0.327459964911033
"110","ATF2","CYTH1",0.0384735423054183,0.05,0.05,-0.232413329440403
"111","ATF2","ZNF547",0.0393217282653,0.0456951871657754,0.0456951871657754,-0.0693723793713792
"112","ATF2","HLA-DPB1",0.0457929816963307,0.036,0.036,-0.0984406066086599
"113","ATF2","RAB7B",0.0466108369800519,0.058,0.058,-0.0422624071713906
"114","ATF2","CRYM",0.0494796054776999,0.058,0.058,-0.212652917166969
"115","ATF2","ZPLD1",0.0634291005473522,0.06,0.06,-0.17820558040302
"116","ATF2","ADTRP",0.0699963254375318,0.052,0.052,-0.181267231368342
"117","ATF2","CXCR4",0.159043483763108,0.0629213483146067,0.0629213483146067,-0.0379750413534523
"118","ATF2","MS4A6A",0.183623748793607,0.0696091348265261,0.0696091348265261,-0.0657797686820038
"119","ATF2","CCSER1",0.198527782514993,0.0882902396101259,0.0882902396101259,-0.0628007215875458
"120","ATF2","HLA-DRB1",0.462145988517998,0.084,0.084,-0.105592090853981
"121","ATF2","CD74",0.576227060459715,0.104,0.104,-0.108071344060936
"122","ATF3","FOS",0.309739575685662,0.19,0.19,0.875131635507806
"123","ATF3","DNAJC1",0.244997118412011,0.08,0.08,0.342184640917363
"124","ATF3","SMARCA2",0.171019691974978,0.054,0.054,0.415820496289131
"125","ATF3","ANGPTL2",0.152741192605648,0.048,0.048,0.47604812481204
"126","ATF3","TFEB",0.149559734171002,0.046,0.046,0.274935115344694
"127","ATF3","PLA2G4C",0.0682800170534988,0.054,0.054,0.390543587428304
"128","ATF3","MPP7",0.061175371260307,0.0290015055022654,0.0290015055022654,0.0411326693167322
"129","ATF3","RELA",0.0579616578754806,0.0507111935683364,0.0507111935683364,0.110518991743792
"130","ATF3","SAT1",0.0538228852627167,0.066,0.066,0.304201462194264
"131","ATF3","JDP2",0.0495423304880542,0.064,0.064,0.672321846652067
"132","ATF3","ENPP2",0.0483423031173887,0.024,0.024,0.445651267261651
"133","ATF3","REV3L",0.0463380480534671,0.032,0.032,0.344499229226598
"134","ATF3","ELOVL5",0.0371944190299261,0.038,0.038,0.43657293223852
"135","ATF3","LPCAT2",0.033192429823427,0.052,0.052,0.083193290452159
"136","ATF3","SEMA6D",0.032521093219206,0.086,0.086,0.191572101413088
"137","ATF3","LSMEM1",0.0314674375868484,0.01,0.01,0.376261322014939
"138","ATF3","MTFR2",0.0296333898325499,0.108,0.108,0.109744330446566
"139","ATF3","FAM162B",0.029090580726736,0.056,0.056,0.316457741030086
"140","ATF3","MLF1",0.0247159312652123,0.032,0.032,0.431743416287418
"141","ATF3","AKAP12",0.0211731300004676,0.044,0.044,0.288263739372634
"142","ATF3","FAM13A",0.0191495800527458,0.04,0.04,0.509312543419729
"143","ATF3","LBX2",0.0176745610122144,0.0213237897629489,0.0213237897629489,0.118717192444591
"144","ATF3","ZNF460",0.0152944603530099,0.04,0.04,0.239408816270512
"145","ATF3","RFFL",0.0137243500176672,0.038,0.038,0.00655246660835541
"146","ATF3","ARIH1",0.0134423360864815,0.006,0.006,0.687032073223167
"147","ATF3","HSPH1",0.0134024295657226,0.06,0.06,0.587862962552756
"148","ATF3","IER5",0.0131017924681795,0.018,0.018,0.487674390942175
"149","ATF3","TCEAL7",0.0119260594353298,0.022,0.022,0.122554722040209
"150","ATF3","MAP3K13",0.0116785282205786,0.03,0.03,0.175243593832778
"151","ATF3","TAGLN",0.0110476637356233,0.032,0.032,-0.227164156852892
"152","ATF3","PINX1",0.012315354587604,0.03,0.03,-0.230671835863623
"153","ATF3","GLIS1",0.01329850584879,0.0140816326530612,0.0140816326530612,-0.0281771681047846
"154","ATF3","CAMK2D",0.013521135578836,0.022,0.022,-0.319856725009838
"155","ATF3","PARVA",0.0154162858163959,0.016,0.016,-0.395354635661797
"156","ATF3","DDX10",0.0202718162452326,0.042,0.042,-0.520905204319485
"157","ATF3","AHI1",0.020329323115778,0.042,0.042,-0.143586858485791
"158","ATF3","NEK1",0.0211519434937632,0.024,0.024,-0.28707681694861
"159","ATF3","RRAD",0.0243181732447002,0.066,0.066,-0.0858670052396607
"160","ATF3","CARNMT1",0.0254083874601105,0.034,0.034,-0.279316719167356
"161","ATF3","SDCBP2",0.0275376559540691,0.0215759999204241,0.0215759999204241,-0.187652612446404
"162","ATF3","SGIP1",0.033103794342742,0.036,0.036,-0.263613443444173
"163","ATF3","IL12RB2",0.0349086593055317,0.032,0.032,-0.241947498594023
"164","ATF3","OVCH1",0.0363586816989317,0.058,0.058,-0.0958683919179736
"165","ATF3","TNFRSF21",0.0404636835252047,0.036,0.036,-0.126279505575181
"166","ATF3","NPHS1",0.042331259708777,0.112865979381443,0.112865979381443,-0.0189202311095885
"167","ATF3","STAT4",0.0513090825092594,0.056,0.056,-0.124499496741888
"168","ATF3","RAP1GAP2",0.0519482631112147,0.056,0.056,-0.0130171211351295
"169","ATF3","EPM2A",0.0541941908418738,0.074,0.074,-0.129899805541375
"170","ATF3","TNFSF8",0.0639016742384033,0.0324459709786971,0.0324459709786971,-0.0384885982510294
"171","ATF3","GALNT10",0.117719222271141,0.046,0.046,-0.229157119975308
"172","ATF4","MEF2D",0.193016158645266,0.11,0.11,0.315815204332369
"173","ATF4","MAFK",0.0796858381626229,0.074,0.074,0.273604842852971
"174","ATF4","MAFF",0.0578436227115963,0.048,0.048,0.452526991339877
"175","ATF4","ZNF582",0.0558012282444371,0.0548932433943192,0.0548932433943192,0.0413884049139903
"176","ATF4","BHLHE22",0.0487302249565366,0.0407338693052979,0.0407338693052979,0.262683105676667
"177","ATF4","OVOL2",0.0468040457209849,0.0445025419133871,0.0445025419133871,0.0809412164031559
"178","ATF4","REST",0.0303857058890963,0.042,0.042,0.140569292733889
"179","ATF4","UGDH",0.026798203111741,0.026,0.026,0.334354362449237
"180","ATF4","FOSL1",0.0255420105857717,0.066,0.066,0.297304837293151
"181","ATF4","PLEKHO1",0.0221090224533235,0.034,0.034,0.16881765211156
"182","ATF4","CYCS",0.0195729902856945,0.066,0.066,0.303888559377062
"183","ATF4","FAM43A",0.0192267639290945,0.056,0.056,0.127412248348896
"184","ATF4","PHLPP1",0.0174643356164466,0.016,0.016,0.253955301777323
"185","ATF4","ATP1A1",0.0162774144755934,0.024,0.024,0.243528112366097
"186","ATF4","DDIT4",0.0105930702986782,0.026,0.026,0.0757808186355523
"187","ATF4","NR2F2",0.0103359820559074,0.024,0.024,0.0847760874493753
"188","ATF4","RMND1",0.0103033275719615,0.022,0.022,-0.178420998555981
