db_order	interaction_name	pathway_name
1	TGFB1_TGFBR1_TGFBR2	TGFb
2	TGFB2_TGFBR1_TGFBR2	TGFb
3	TGFB3_TGFBR1_TGFBR2	TGFb
4	TGFB1_ACVR1B_TGFBR2	TGFb
5	TGFB1_ACVR1C_TGFBR2	TGFb
6	TGFB2_ACVR1B_TGFBR2	TGFb
7	TGFB2_ACVR1C_TGFBR2	TGFb
8	TGFB3_ACVR1B_TGFBR2	TGFb
9	TGFB3_ACVR1C_TGFBR2	TGFb
10	TGFB1_ACVR1_TGFBR1	TGFb
11	TGFB2_ACVR1_TGFBR1	TGFb
12	TGFB3_ACVR1_TGFBR1	TGFb
13	SPP1_CD44	SPP1
14	SPP1_ITGAV_ITGB3	SPP1
15	SPP1_ITGAV_ITGB1	SPP1
16	SPP1_ITGAV_ITGB5	SPP1
17	SPP1_ITGAV_ITGB6	SPP1
18	SPP1_ITGA4_ITGB1	SPP1
19	SPP1_ITGA9_ITGB1	SPP1
20	SPP1_ITGA8_ITGB1	SPP1
21	SPP1_ITGA5_ITGB1	SPP1
22	POSTN_ITGAV_ITGB3	PERIOSTIN
23	POSTN_ITGAV_ITGB5	PERIOSTIN
24	COL1A1_ITGA1_ITGB1	COLLAGEN
25	COL1A2_ITGA1_ITGB1	COLLAGEN
26	COL2A1_ITGA1_ITGB1	COLLAGEN
27	COL4A1_ITGA1_ITGB1	COLLAGEN
28	COL4A2_ITGA1_ITGB1	COLLAGEN
29	COL4A3_ITGA1_ITGB1	COLLAGEN
30	COL4A4_ITGA1_ITGB1	COLLAGEN
31	COL4A5_ITGA1_ITGB1	COLLAGEN
32	COL4A6_ITGA1_ITGB1	COLLAGEN
33	COL6A1_ITGA1_ITGB1	COLLAGEN
34	COL6A2_ITGA1_ITGB1	COLLAGEN
35	COL6A3_ITGA1_ITGB1	COLLAGEN
36	COL6A5_ITGA1_ITGB1	COLLAGEN
37	COL6A6_ITGA1_ITGB1	COLLAGEN
38	COL9A1_ITGA1_ITGB1	COLLAGEN
39	COL9A2_ITGA1_ITGB1	COLLAGEN
40	COL9A3_ITGA1_ITGB1	COLLAGEN
41	COL1A1_ITGA2_ITGB1	COLLAGEN
42	COL1A2_ITGA2_ITGB1	COLLAGEN
43	COL2A1_ITGA2_ITGB1	COLLAGEN
44	COL4A1_ITGA2_ITGB1	COLLAGEN
45	COL4A2_ITGA2_ITGB1	COLLAGEN
46	COL4A3_ITGA2_ITGB1	COLLAGEN
47	COL4A4_ITGA2_ITGB1	COLLAGEN
48	COL4A5_ITGA2_ITGB1	COLLAGEN
49	COL4A6_ITGA2_ITGB1	COLLAGEN
50	COL6A1_ITGA2_ITGB1	COLLAGEN
51	COL6A2_ITGA2_ITGB1	COLLAGEN
52	COL6A3_ITGA2_ITGB1	COLLAGEN
53	COL6A5_ITGA2_ITGB1	COLLAGEN
54	COL6A6_ITGA2_ITGB1	COLLAGEN
55	COL9A1_ITGA2_ITGB1	COLLAGEN
56	COL9A2_ITGA2_ITGB1	COLLAGEN
57	COL9A3_ITGA2_ITGB1	COLLAGEN
58	FN1_ITGA3_ITGB1	FN1
59	FN1_ITGA4_ITGB1	FN1
60	FN1_ITGA5_ITGB1	FN1
61	FN1_ITGA8_ITGB1	FN1
