Table S2 Pseudobulk differential expression results across all cell types,,,,,,,,,,
gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
AL121985.1,EC1,3.288302997,3.407736122,7.443611462,4.33E-06,0.036953073,3.925020231,5,5,Up
AL136962.1,EC1,3.321291123,3.680670171,7.043012779,7.85E-06,0.036953073,3.560642938,5,5,Up
NLGN4X,EC1,3.302088781,2.555608137,6.960560791,8.90E-06,0.036953073,2.893888202,5,5,Up
DEPDC1B,EC2,2.234056699,3.791792149,7.24624032,5.14E-06,0.045289887,2.532104535,5,5,Up
XKR6,FAP1,-3.513470808,3.776301843,-13.69674316,6.25E-09,9.71E-05,10.282307,5,5,Down
MECOM,FAP1,8.707936545,1.181060825,11.70765968,3.94E-08,0.000305553,6.698475317,5,5,Up
SHOX,FAP1,-4.354772473,4.141454826,-9.884426031,2.72E-07,0.001009712,7.14749376,5,5,Down
LFNG,FAP1,-2.807049817,2.954111277,-9.782606188,3.06E-07,0.001009712,6.923713902,5,5,Down
EPHA6,FAP1,3.181849221,4.710340676,9.72966758,3.25E-07,0.001009712,7.051314028,5,5,Up
SLPI,FAP1,4.123810878,2.84266347,8.648531502,1.20E-06,0.003093483,5.466851722,5,5,Up
HAND2-AS1,FAP1,-3.898289944,2.950194224,-8.172980768,2.20E-06,0.004671721,5.119004877,5,5,Down
TLL2,FAP1,-1.808834681,5.514544962,-8.066241939,2.54E-06,0.004671721,5.156377308,5,5,Down
AP001924.1,FAP1,-4.775928154,-0.491343458,-8.016663994,2.71E-06,0.004671721,3.905230211,5,5,Down
AF121898.1,FAP1,-6.159818046,3.835102585,-7.759676303,3.83E-06,0.005940266,4.609533447,5,5,Down
MYO1D,FAP1,-1.387795301,6.849916162,-7.401222696,6.28E-06,0.008861374,4.271194831,5,5,Down
CLEC11A,FAP1,-2.976593876,3.495965766,-7.148915149,8.98E-06,0.011621292,3.920565252,5,5,Down
ID4,FAP1,-1.519944325,4.868361216,-7.03114354,1.06E-05,0.012714511,3.758740866,5,5,Down
AC004917.1,FAP1,2.050470243,3.253352056,6.878164517,1.33E-05,0.014762203,3.541905903,5,5,Up
MCOLN3,FAP1,-1.761951406,3.914284004,-6.789063976,1.52E-05,0.014847349,3.424511827,5,5,Down
COLEC12,FAP1,-1.342020446,8.782418984,-6.769463476,1.56E-05,0.014847349,3.386208016,5,5,Down
PTGFR,FAP1,2.284790924,5.679764605,6.691024149,1.76E-05,0.014847349,3.266771822,5,5,Up
