gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
XKR6,FAP1,-3.51347080825982,3.77630184269896,-13.696743155381,6.25194400053344e-09,9.70614306082816e-05,10.2823070021591,5,5,Down
MECOM,FAP1,8.70793654453047,1.18106082543958,11.7076596827707,3.93626781192758e-08,0.000305552788900878,6.69847531664642,5,5,Up
SHOX,FAP1,-4.35477247330382,4.141454826244,-9.88442603095795,2.72401958388885e-07,0.00100971153898094,7.14749375981414,5,5,Down
LFNG,FAP1,-2.80704981680707,2.95411127744362,-9.78260618825759,3.05994871192948e-07,0.00100971153898094,6.92371390186496,5,5,Down
EPHA6,FAP1,3.18184922068359,4.71034067592778,9.72966758009207,3.25188901443138e-07,0.00100971153898094,7.05131402812727,5,5,Up
SLPI,FAP1,4.1238108784438,2.84266347000738,8.64853150191179,1.19554893256616e-06,0.00309348286301493,5.46685172198926,5,5,Up
HAND2-AS1,FAP1,-3.89828994411851,2.95019422373339,-8.17298076798562,2.20305958424345e-06,0.00467172111884116,5.11900487652209,5,5,Down
TLL2,FAP1,-1.80883468073322,5.5145449620529,-8.06624193874288,2.53582063154824e-06,0.00467172111884116,5.15637730777724,5,5,Down
AP001924.1,FAP1,-4.77592815367505,-0.49134345786535,-8.01666399358061,2.70824412686444e-06,0.00467172111884116,3.90523021060352,5,5,Down
AF121898.1,FAP1,-6.15981804633329,3.8351025847824,-7.75967630268433,3.82625846184445e-06,0.00594026626201351,4.60953344729624,5,5,Down
MYO1D,FAP1,-1.3877953012103,6.84991616235475,-7.40122269560478,6.2785901495097e-06,0.00886137382464891,4.27119483149463,5,5,Down
CLEC11A,FAP1,-2.97659387588875,3.49596576561658,-7.14891514890214,8.98264091204133e-06,0.0116212916799535,3.92056525158426,5,5,Down
ID4,FAP1,-1.5199443251152,4.868361215743,-7.03114354003073,1.06466114992592e-05,0.0127145110404615,3.75874086552197,5,5,Down
AC004917.1,FAP1,2.05047024336074,3.25335205554935,6.87816451733153,1.33121315198613e-05,0.0147622029889891,3.54190590289455,5,5,Up
