Table S4 Co-expression module assignments,,,,,,,,,,,,,,
gene_name,module,color,kME_pink,kME_blue,kME_grey,kME_yellow,kME_turquoise,kME_brown,kME_red,kME_black,kME_greenyellow,kME_green,kME_purple,kME_magenta
TTN,pink,pink,0.361493544,-0.023291927,-0.031951641,-0.026722704,0.000989302,-0.059784187,-0.038220944,0.004380137,-0.065442774,0.026540621,0.044218586,0.028390802
MCTP1,pink,pink,0.819386652,-0.075644443,-0.216489056,-0.032633835,-0.091446665,-0.1329794,-0.105861367,0.030952223,-0.104517666,-0.046059214,-0.086042653,-0.007781821
NEB,blue,blue,0.032777255,0.17078049,0.044133567,-0.003450922,0.01368287,0.056909542,0.028507668,-0.014987934,-0.008176556,-0.014408712,0.013545273,-0.06283957
ADAMTS9,pink,pink,0.734222435,-0.070083467,-0.264629973,0.147599969,-0.124969242,-0.115417426,-0.128131963,0.058615593,-0.107836221,-0.053300842,-0.119023983,-0.034983443
PTPRC,pink,pink,0.137924805,-0.01536462,-0.068478559,0.075056509,-0.035069993,-0.021738177,-0.038595842,0.020733723,-0.026948241,-0.012994204,-0.037117597,-0.022868202
TNC,yellow,yellow,0.055625394,-0.007010075,-0.306467764,0.611270213,-0.20043866,0.101629083,-0.100788642,0.263531205,-0.084854794,0.070793574,-0.14450701,-0.141032693
LRRTM4,turquoise,turquoise,-0.134017831,0.06861532,0.302887912,-0.301826532,0.322383928,-0.033986084,0.19782374,-0.214299724,-0.166439352,0.012455194,0.406004269,0.114638001
RGS6,yellow,yellow,0.022820562,-0.011052037,-0.090468185,0.211910202,-0.047351019,-0.002670431,-0.021069879,0.025738242,-0.016193469,-0.025058091,-0.053448627,-0.017833033
KYNU,yellow,yellow,0.124445115,-0.033154368,-0.330150534,0.783562756,-0.176571245,0.033969684,-0.146849719,0.085707025,-0.090417476,-0.055413336,-0.191071088,-0.125721879
TLL1,yellow,yellow,0.042029365,-0.019575837,-0.181368194,0.470916747,-0.099150444,0.029301333,-0.088973487,0.052497486,-0.05582103,-0.026115656,-0.115882509,-0.082963403
MMP3,yellow,yellow,-0.001317187,-0.038585843,-0.261053227,0.37788466,-0.301288952,0.319488491,0.02041643,-0.009310893,-0.073231526,-0.166029213,-0.123749544,-0.222985947
IL1B,pink,pink,0.15709104,-0.033577158,0.014382349,-0.018882735,-0.009540641,-0.015066427,-0.057717344,0.000671726,-0.047007148,0.09045398,0.049451106,0.011754414
CXCL8,brown,brown,-0.013888689,-0.067530837,-0.258434725,0.264882678,-0.356787401,0.464625103,0.009380069,-0.037181958,0.106662462,-0.142913877,-0.137222973,-0.281144269
MYH2,turquoise,turquoise,-0.007226931,-0.001000271,0.054600504,-0.013156328,0.071035921,-0.045087108,-0.025390166,0.001545159,-0.021019956,0.044021229,0.009936579,0.037917318
MYH11,blue,blue,-0.006718237,0.081936536,0.061311756,-0.011735444,0.039668489,-0.009789052,0.045582503,-0.014826588,0.013581674,-0.024774745,0.003209561,-0.011679625
