gene,celltype,contrast,n_tests_within_family,avg_log2FC,p_val,p_val_adj
Smad3,Type IIa Myofiber,Veh_vs_EP,10769,-1.35177077229492,0.000449950771698188,0.0598454692220973
Smad3,Type IIa Myofiber,EPR_vs_EP,10769,-1.08161838951196,0.00334458430975825,0.220665565122613
Smad3,Macrophage (APC),Veh_vs_EP,3861,-0.714779918595352,0.0258895927938548,0.237999328040651
Smad3,Type I Myofiber,Veh_vs_EP,6338,-1.07784392571245,0.0116841354378954,0.25563521507454
Smad3,MuSC,EPR_vs_EP,3815,-0.889561372453265,0.04132798761747,0.298610365076985
Smad3,MuSC,Veh_vs_EP,3815,-0.539271480602251,0.0641520172732794,0.398450008710039
Smad3,Macrophage (M2),Veh_vs_EP,2290,-0.362992896337284,0.15668950649308,0.466604642222567
Smad3,Mesothelial-like,EPR_vs_EP,11993,-0.478246922334866,0.168502636545022,0.487892834399915
Smad3,Macrophage (APC),EPR_vs_EP,3861,-0.701014411930838,0.156699596597613,0.504633919384549
Smad3,Type IIb Myofiber,EPR_vs_EP,11594,-0.605292437191487,0.217055616470118,0.605491516390054
Smad3,Type IIb Myofiber,Veh_vs_EP,11594,-0.370457299813842,0.450884235774645,0.698322079361712
Smad3,Pgr- Fibroblast,EPR_vs_EP,9808,-0.172666288849139,0.494367683803415,0.767718951934437
Smad3,Endothelial,EPR_vs_EP,6019,-0.274988279289741,0.481784441909085,0.770252708114749
Smad3,Pgr- Fibroblast,Veh_vs_EP,9808,-0.196645697517387,0.444688175074587,0.782316840285347
Smad3,Type I Myofiber,EPR_vs_EP,6338,-0.39086194883881,0.351132851086228,0.798597631335019
Smad3,Endothelial,Veh_vs_EP,6019,-0.107527273972601,0.739458583606,0.878736666283221
Smad3,Macrophage (M2),EPR_vs_EP,2290,-0.279206550301741,0.597414204262132,0.886679899292131
Smad3,B Cell,EPR_vs_EP,735,0.30627063934813,0.731515808662778,0.896106865611904
Smad3,Mesothelial-like,Veh_vs_EP,11993,-0.0962105844607315,0.749296490324372,0.908258824384495
Smad3,B Cell,Veh_vs_EP,735,0.10654922176855,0.833309280661383,0.951422802145516
Smad3,Endothelial,Veh_vs_EPR,6019,0.16746100531714,0.689456624283974,0.967776960704395
Smad3,Type IIa Myofiber,Veh_vs_EPR,10769,-0.270152382782952,0.410825255599414,0.979989351277773
Smad3,B Cell,Veh_vs_EPR,735,-0.19972141757958,0.819232732087039,0.982415422401482
Smad3,Macrophage (M2),Veh_vs_EPR,2290,-0.0837863460355424,0.874777915486943,0.987101008930768
Smad3,Type I Myofiber,Veh_vs_EPR,6338,-0.686981976873637,0.141913124394966,0.98919450305938
Smad3,MuSC,Veh_vs_EPR,3815,0.350289891851014,0.415305515143938,0.991749720974004
Smad3,Macrophage (APC),Veh_vs_EPR,3861,-0.0137655066645142,0.977474260235248,0.996684064875989
Smad3,Pgr- Fibroblast,Veh_vs_EPR,9808,-0.0239794086682483,0.931656165304137,0.997227470899049
Smad3,Type IIb Myofiber,Veh_vs_EPR,11594,0.234835137377645,0.648985428553383,0.997694575300726
Smad3,Mesothelial-like,Veh_vs_EPR,11993,0.382036337874134,0.295549578422934,0.997900708857842
