gene,Yellow_Module,Brown_Module,Blue_Module,DEGs_FAPs,SMR_UKB,SMR_FinnGen
A1BG,0,0,0,0,1,0
A4GALT,0,0,0,0,1,0
AAGAB,0,0,1,0,0,0
AATK,1,0,0,0,0,0
ABAT,0,0,1,0,0,0
ABCA1,0,0,1,0,0,0
ABCA5,0,0,0,0,0,1
ABCB10,0,0,0,0,0,1
ABCB9,0,0,1,0,0,0
ABCC4,0,1,0,0,0,0
ABCC9,0,1,0,0,0,0
ABCF1,0,0,0,0,1,0
ABHD10,0,0,1,0,0,0
ABHD12,0,0,0,0,0,1
ABHD14A,0,0,0,0,1,0
ABHD16A,0,0,0,0,1,0
ABI3BP,0,1,0,0,0,0
ABL2,0,1,0,0,0,0
ABO,0,0,0,0,0,1
ABR,1,0,0,0,0,0
ABRACL,0,0,0,0,0,1
ABT1,0,0,0,0,1,0
AC000078.5,0,0,0,0,0,1
AC002070.1,0,1,0,0,0,0
AC002074.1,1,0,0,0,0,0
AC002467.7,0,0,0,0,1,0
AC002480.2,1,0,0,0,0,0
AC003088.1,0,0,0,0,0,1
AC003090.1,0,0,0,0,0,1
AC003991.1,0,0,1,0,0,0
AC004083.1,0,0,1,0,0,0
AC004160.1,0,0,0,1,0,0
AC004166.6,0,0,0,0,0,1
AC004917.1,0,0,1,1,0,0
AC004980.10,0,0,0,0,1,0
AC004980.11,0,0,0,0,1,0
AC004980.7,0,0,0,0,1,0
AC004980.8,0,0,0,0,1,0
AC004980.9,0,0,0,0,1,0
AC005050.3,0,0,1,0,0,0
AC005208.1,0,0,1,0,0,0
AC005291.2,0,1,0,0,0,0
AC005306.3,0,0,0,0,0,1
AC005355.1,0,0,1,0,0,0
AC005519.4,0,0,0,0,0,1
AC005550.4,0,0,0,0,1,0
AC005670.3,0,0,1,0,0,0
AC005682.7,0,0,0,0,1,0
AC005759.1,0,0,1,0,0,0
AC005932.1,0,0,0,0,1,0
AC006001.2,0,1,0,0,0,0
AC006059.5,0,0,1,0,0,0
AC006230.1,0,0,1,0,0,0
AC006333.1,0,0,1,0,0,0
AC006460.2,0,0,0,1,0,0
AC006547.13,0,0,0,0,1,1
AC006547.14,0,0,0,0,1,0
AC007000.12,0,0,0,0,1,0
AC007262.2,0,0,1,0,0,0
