source,target,n_pos,sum_pos,n_neg,sum_neg,mean_pos,mean_neg,score_pos,score_neg,delta
pink,pink,1,0.847695700072239,0,0,0.847695700072239,0,0.333333333333333,0,0.333333333333333
blue,pink,1,0.0195989128791035,0,0,0.0195989128791035,0,0.0909090909090909,0,0.0909090909090909
yellow,pink,1,0.0146050676680731,0,0,0.0146050676680731,0,0.125,0,0.125
turquoise,pink,0,0,1,-0.0116637341839791,0,-0.0116637341839791,0,0.0344827586206897,-0.0344827586206897
brown,pink,0,0,1,-0.0184648197444146,0,-0.0184648197444146,0,0.0454545454545455,-0.0454545454545455
red,pink,0,0,2,-0.121662748522383,0,-0.0608313742611914,0,0.166666666666667,-0.166666666666667
black,pink,1,0.0469840106641115,0,0,0.0469840106641115,0,0.333333333333333,0,0.333333333333333
greenyellow,pink,0,0,1,-0.016882145568576,0,-0.016882145568576,0,0.333333333333333,-0.333333333333333
green,pink,0,0,0,0,0,0,0,0,0
purple,pink,0,0,0,0,0,0,0,0,0
magenta,pink,0,0,0,0,0,0,0,0,0
pink,blue,0,0,0,0,0,0,0,0,0
blue,blue,24,3.0156366927361,0,0,0.125651528864004,0,2.18181818181818,0,2.18181818181818
yellow,blue,4,0.188906808285001,5,-0.267960993937481,0.0472267020712501,-0.0535921987874962,0.5,0.625,-0.125
turquoise,blue,8,0.179812003909615,1,-0.0205118386790954,0.0224765004887019,-0.0205118386790954,0.275862068965517,0.0344827586206897,0.241379310344828
brown,blue,4,0.165079603134487,2,-0.0443707280644703,0.0412699007836218,-0.0221853640322352,0.181818181818182,0.0909090909090909,0.0909090909090909
red,blue,11,0.612293672800864,0,0,0.0556630611637149,0,0.916666666666667,0,0.916666666666667
black,blue,3,0.1317713569532,0,0,0.0439237856510667,0,1,0,1
greenyellow,blue,1,0.0998342040438432,0,0,0.0998342040438432,0,0.333333333333333,0,0.333333333333333
green,blue,0,0,1,-0.0223116486770108,0,-0.0223116486770108,0,1,-1
purple,blue,0,0,1,-0.0181493555267111,0,-0.0181493555267111,0,0.5,-0.5
magenta,blue,1,0.0128172076328104,0,0,0.0128172076328104,0,0.0714285714285714,0,0.0714285714285714
pink,yellow,0,0,0,0,0,0,0,0,0
blue,yellow,3,0.0638263028281063,4,-0.195155511347203,0.0212754342760354,-0.0487888778368006,0.272727272727273,0.363636363636364,-0.0909090909090909
yellow,yellow,10,1.70113062217021,0,0,0.170113062217021,0,1.25,0,1.25
turquoise,yellow,1,0.119266916103014,8,-0.190740549563715,0.119266916103014,-0.0238425686954644,0.0344827586206897,0.275862068965517,-0.241379310344828
brown,yellow,12,0.77621304492769,6,-0.225897169007887,0.0646844204106408,-0.0376495281679812,0.545454545454545,0.272727272727273,0.272727272727273
red,yellow,3,0.257227046017857,3,-0.042514573284653,0.0857423486726191,-0.0141715244282177,0.25,0.25,0
black,yellow,0,0,3,-0.070715775904411,0,-0.0235719253014703,0,1,-1
greenyellow,yellow,4,0.425346865416585,0,0,0.106336716354146,0,1.33333333333333,0,1.33333333333333
green,yellow,2,0.0260326303321962,0,0,0.0130163151660981,0,2,0,2
purple,yellow,0,0,0,0,0,0,0,0,0
magenta,yellow,0,0,1,-0.0142385038092506,0,-0.0142385038092506,0,0.0714285714285714,-0.0714285714285714
pink,turquoise,1,0.0675366933111507,1,-0.0345954118777479,0.0675366933111507,-0.0345954118777479,0.333333333333333,0.333333333333333,0
blue,turquoise,11,0.385651915534953,5,-0.37476704566764,0.0350592650486321,-0.0749534091335279,1,0.454545454545455,0.545454545454545
yellow,turquoise,3,0.16691576850177,21,-2.20071651391671,0.0556385895005901,-0.104796024472224,0.375,2.625,-2.25
turquoise,turquoise,122,15.5444062028791,1,-0.0438457810490035,0.12741316559737,-0.0438457810490035,4.20689655172414,0.0344827586206897,4.17241379310345
brown,turquoise,5,0.311982867023724,43,-4.25938421891046,0.0623965734047448,-0.0990554469514061,0.227272727272727,1.95454545454545,-1.72727272727273
red,turquoise,10,0.659454616997765,9,-0.414018462648687,0.0659454616997765,-0.0460020514054096,0.833333333333333,0.75,0.0833333333333334
black,turquoise,3,0.621260234357727,1,-0.0173203496457521,0.207086744785909,-0.0173203496457521,1,0.333333333333333,0.666666666666667
greenyellow,turquoise,2,0.0398116045440419,3,-0.113064342929032,0.019905802272021,-0.0376881143096774,0.666666666666667,1,-0.333333333333333
green,turquoise,0,0,1,-0.176031604226394,0,-0.176031604226394,0,1,-1
purple,turquoise,2,0.154380875863302,1,-0.054159980332751,0.0771904379316512,-0.054159980332751,1,0.5,0.5
magenta,turquoise,11,0.881302741457963,0,0,0.080118431041633,0,0.785714285714286,0,0.785714285714286
pink,brown,0,0,0,0,0,0,0,0,0
blue,brown,4,0.0921136825758099,9,-0.600624632600076,0.0230284206439525,-0.0667360702888973,0.363636363636364,0.818181818181818,-0.454545454545455
yellow,brown,11,0.553949212807507,1,-0.0159793318112249,0.050359019346137,-0.0159793318112249,1.375,0.125,1.25
turquoise,brown,1,0.0268052777218021,22,-1.44985792226947,0.0268052777218021,-0.0659026328304305,0.0344827586206897,0.758620689655172,-0.724137931034483
brown,brown,36,3.59737800035986,1,-0.0333022358057694,0.0999271666766627,-0.0333022358057694,1.63636363636364,0.0454545454545455,1.59090909090909
red,brown,16,1.42123299504364,5,-0.101127938392259,0.0888270621902272,-0.0202255876784519,1.33333333333333,0.416666666666667,0.916666666666666
black,brown,1,0.0268110201746864,2,-0.0316640762290952,0.0268110201746864,-0.0158320381145476,0.333333333333333,0.666666666666667,-0.333333333333333
greenyellow,brown,0,0,1,-0.0276049781234006,0,-0.0276049781234006,0,0.333333333333333,-0.333333333333333
green,brown,1,0.0134938692912233,0,0,0.0134938692912233,0,1,0,1
purple,brown,1,0.0490631660873347,0,0,0.0490631660873347,0,0.5,0,0.5
magenta,brown,3,0.0985871637358013,8,-0.612764841200431,0.0328623879119338,-0.0765956051500538,0.214285714285714,0.571428571428571,-0.357142857142857
pink,red,0,0,1,-0.0666849938512702,0,-0.0666849938512702,0,0.333333333333333,-0.333333333333333
blue,red,9,0.648117056906226,0,0,0.072013006322914,0,0.818181818181818,0,0.818181818181818
yellow,red,2,0.119620104881893,6,-0.155641500470447,0.0598100524409463,-0.0259402500784078,0.25,0.75,-0.5
turquoise,red,5,0.109620166750129,2,-0.0752283622944498,0.0219240333500259,-0.0376141811472249,0.172413793103448,0.0689655172413793,0.103448275862069
brown,red,10,0.513009477722043,7,-0.386352182058272,0.0513009477722043,-0.0551931688654675,0.454545454545455,0.318181818181818,0.136363636363636
red,red,10,0.622292775083977,0,0,0.0622292775083977,0,0.833333333333333,0,0.833333333333333
black,red,2,0.0297709946425466,1,-0.0546829975936966,0.0148854973212733,-0.0546829975936966,0.666666666666667,0.333333333333333,0.333333333333333
greenyellow,red,1,0.0237592378114681,2,-0.113160010823107,0.0237592378114681,-0.0565800054115533,0.333333333333333,0.666666666666667,-0.333333333333333
green,red,0,0,1,-0.0293418943524397,0,-0.0293418943524397,0,1,-1
purple,red,2,0.0403367541319982,0,0,0.0201683770659991,0,1,0,1
magenta,red,2,0.0841768038217631,0,0,0.0420884019108815,0,0.142857142857143,0,0.142857142857143
pink,black,0,0,0,0,0,0,0,0,0
blue,black,0,0,0,0,0,0,0,0,0
yellow,black,0,0,0,0,0,0,0,0,0
turquoise,black,1,0.0750316320344111,0,0,0.0750316320344111,0,0.0344827586206897,0,0.0344827586206897
brown,black,0,0,0,0,0,0,0,0,0
red,black,0,0,0,0,0,0,0,0,0
black,black,0,0,0,0,0,0,0,0,0
greenyellow,black,0,0,0,0,0,0,0,0,0
green,black,0,0,0,0,0,0,0,0,0
purple,black,0,0,0,0,0,0,0,0,0
magenta,black,0,0,0,0,0,0,0,0,0
pink,greenyellow,0,0,0,0,0,0,0,0,0
blue,greenyellow,2,0.0294972320639029,0,0,0.0147486160319515,0,0.181818181818182,0,0.181818181818182
yellow,greenyellow,2,0.0394512698803418,1,-0.075099604871064,0.0197256349401709,-0.075099604871064,0.25,0.125,0.125
turquoise,greenyellow,2,0.0523809787992031,1,-0.0271766918594581,0.0261904893996016,-0.0271766918594581,0.0689655172413793,0.0344827586206897,0.0344827586206897
brown,greenyellow,3,0.0925574657752732,2,-0.0463402487829355,0.0308524885917578,-0.0231701243914678,0.136363636363636,0.0909090909090909,0.0454545454545454
red,greenyellow,0,0,7,-0.44602108156497,0,-0.0637172973664243,0,0.583333333333333,-0.583333333333333
black,greenyellow,3,0.179258748459089,0,0,0.0597529161530298,0,1,0,1
greenyellow,greenyellow,0,0,0,0,0,0,0,0,0
green,greenyellow,1,0.0449570811041933,0,0,0.0449570811041933,0,1,0,1
purple,greenyellow,0,0,0,0,0,0,0,0,0
magenta,greenyellow,0,0,0,0,0,0,0,0,0
pink,green,0,0,0,0,0,0,0,0,0
blue,green,0,0,0,0,0,0,0,0,0
yellow,green,2,0.323751484192008,0,0,0.161875742096004,0,0.25,0,0.25
turquoise,green,1,0.0119999451857293,1,-0.084951756806625,0.0119999451857293,-0.084951756806625,0.0344827586206897,0.0344827586206897,0
brown,green,1,0.0131398140139282,0,0,0.0131398140139282,0,0.0454545454545455,0,0.0454545454545455
red,green,0,0,2,-0.127280163557136,0,-0.0636400817785679,0,0.166666666666667,-0.166666666666667
black,green,0,0,0,0,0,0,0,0,0
greenyellow,green,1,0.176502925523595,0,0,0.176502925523595,0,0.333333333333333,0,0.333333333333333
green,green,0,0,0,0,0,0,0,0,0
purple,green,0,0,0,0,0,0,0,0,0
magenta,green,1,0.0184680968655755,0,0,0.0184680968655755,0,0.0714285714285714,0,0.0714285714285714
pink,purple,0,0,0,0,0,0,0,0,0
blue,purple,2,0.0325122540403696,0,0,0.0162561270201848,0,0.181818181818182,0,0.181818181818182
yellow,purple,0,0,1,-0.0133370702848674,0,-0.0133370702848674,0,0.125,-0.125
turquoise,purple,3,0.0711779256993824,0,0,0.0237259752331275,0,0.103448275862069,0,0.103448275862069
brown,purple,0,0,0,0,0,0,0,0,0
red,purple,3,0.117339007403315,0,0,0.0391130024677716,0,0.25,0,0.25
black,purple,0,0,0,0,0,0,0,0,0
greenyellow,purple,1,0.0146331918415667,0,0,0.0146331918415667,0,0.333333333333333,0,0.333333333333333
green,purple,0,0,0,0,0,0,0,0,0
purple,purple,0,0,0,0,0,0,0,0,0
magenta,purple,1,0.0140245739538221,1,-0.0162140851340873,0.0140245739538221,-0.0162140851340873,0.0714285714285714,0.0714285714285714,0
pink,magenta,0,0,0,0,0,0,0,0,0
blue,magenta,1,0.0531418506244191,6,-0.113272394798242,0.0531418506244191,-0.0188787324663736,0.0909090909090909,0.545454545454545,-0.454545454545455
yellow,magenta,1,0.0763115022820231,1,-0.0330258949823497,0.0763115022820231,-0.0330258949823497,0.125,0.125,0
turquoise,magenta,30,1.78756595207546,3,-0.0897633923757503,0.0595855317358487,-0.0299211307919168,1.03448275862069,0.103448275862069,0.931034482758621
brown,magenta,3,0.147346964630438,34,-3.11299278675282,0.0491156548768126,-0.091558611375083,0.136363636363636,1.54545454545455,-1.40909090909091
red,magenta,9,0.84587131333309,5,-0.11959443427138,0.0939857014814545,-0.023918886854276,0.75,0.416666666666667,0.333333333333333
black,magenta,0,0,3,-0.620107152825395,0,-0.206702384275132,0,1,-1
greenyellow,magenta,0,0,4,-0.488764908715742,0,-0.122191227178935,0,1.33333333333333,-1.33333333333333
green,magenta,3,0.149901427589742,0,0,0.0499671425299141,0,3,0,3
