source,target,n_pos,sum_pos,n_neg,sum_neg,mean_pos,mean_neg,score_pos,score_neg,delta
yellow,blue,4,0.188906808285001,5,-0.267960993937481,0.0472267020712501,-0.0535921987874962,0.5,0.625,-0.125
green,blue,0,0,1,-0.0223116486770108,0,-0.0223116486770108,0,1,-1
purple,blue,0,0,1,-0.0181493555267111,0,-0.0181493555267111,0,0.5,-0.5
black,yellow,0,0,3,-0.070715775904411,0,-0.0235719253014703,0,1,-1
yellow,turquoise,3,0.16691576850177,21,-2.20071651391671,0.0556385895005901,-0.104796024472224,0.375,2.625,-2.25
brown,turquoise,5,0.311982867023724,43,-4.25938421891046,0.0623965734047448,-0.0990554469514061,0.227272727272727,1.95454545454545,-1.72727272727273
red,turquoise,10,0.659454616997765,9,-0.414018462648687,0.0659454616997765,-0.0460020514054096,0.833333333333333,0.75,0.0833333333333334
greenyellow,turquoise,2,0.0398116045440419,3,-0.113064342929032,0.019905802272021,-0.0376881143096774,0.666666666666667,1,-0.333333333333333
green,turquoise,0,0,1,-0.176031604226394,0,-0.176031604226394,0,1,-1
purple,turquoise,2,0.154380875863302,1,-0.054159980332751,0.0771904379316512,-0.054159980332751,1,0.5,0.5
blue,brown,4,0.0921136825758099,9,-0.600624632600076,0.0230284206439525,-0.0667360702888973,0.363636363636364,0.818181818181818,-0.454545454545455
turquoise,brown,1,0.0268052777218021,22,-1.44985792226947,0.0268052777218021,-0.0659026328304305,0.0344827586206897,0.758620689655172,-0.724137931034483
black,brown,1,0.0268110201746864,2,-0.0316640762290952,0.0268110201746864,-0.0158320381145476,0.333333333333333,0.666666666666667,-0.333333333333333
magenta,brown,3,0.0985871637358013,8,-0.612764841200431,0.0328623879119338,-0.0765956051500538,0.214285714285714,0.571428571428571,-0.357142857142857
yellow,red,2,0.119620104881893,6,-0.155641500470447,0.0598100524409463,-0.0259402500784078,0.25,0.75,-0.5
greenyellow,red,1,0.0237592378114681,2,-0.113160010823107,0.0237592378114681,-0.0565800054115533,0.333333333333333,0.666666666666667,-0.333333333333333
green,red,0,0,1,-0.0293418943524397,0,-0.0293418943524397,0,1,-1
red,greenyellow,0,0,7,-0.44602108156497,0,-0.0637172973664243,0,0.583333333333333,-0.583333333333333
blue,magenta,1,0.0531418506244191,6,-0.113272394798242,0.0531418506244191,-0.0188787324663736,0.0909090909090909,0.545454545454545,-0.454545454545455
brown,magenta,3,0.147346964630438,34,-3.11299278675282,0.0491156548768126,-0.091558611375083,0.136363636363636,1.54545454545455,-1.40909090909091
black,magenta,0,0,3,-0.620107152825395,0,-0.206702384275132,0,1,-1
greenyellow,magenta,0,0,4,-0.488764908715742,0,-0.122191227178935,0,1.33333333333333,-1.33333333333333
