source,target,n_pos,sum_pos,n_neg,sum_neg,mean_pos,mean_neg,score_pos,score_neg,delta
blue,blue,24,3.0156366927361,0,0,0.125651528864004,0,2.18181818181818,0,2.18181818181818
yellow,blue,4,0.188906808285001,5,-0.267960993937481,0.0472267020712501,-0.0535921987874962,0.5,0.625,-0.125
red,blue,11,0.612293672800864,0,0,0.0556630611637149,0,0.916666666666667,0,0.916666666666667
black,blue,3,0.1317713569532,0,0,0.0439237856510667,0,1,0,1
yellow,yellow,10,1.70113062217021,0,0,0.170113062217021,0,1.25,0,1.25
brown,yellow,12,0.77621304492769,6,-0.225897169007887,0.0646844204106408,-0.0376495281679812,0.545454545454545,0.272727272727273,0.272727272727273
greenyellow,yellow,4,0.425346865416585,0,0,0.106336716354146,0,1.33333333333333,0,1.33333333333333
green,yellow,2,0.0260326303321962,0,0,0.0130163151660981,0,2,0,2
blue,turquoise,11,0.385651915534953,5,-0.37476704566764,0.0350592650486321,-0.0749534091335279,1,0.454545454545455,0.545454545454545
turquoise,turquoise,122,15.5444062028791,1,-0.0438457810490035,0.12741316559737,-0.0438457810490035,4.20689655172414,0.0344827586206897,4.17241379310345
red,turquoise,10,0.659454616997765,9,-0.414018462648687,0.0659454616997765,-0.0460020514054096,0.833333333333333,0.75,0.0833333333333334
black,turquoise,3,0.621260234357727,1,-0.0173203496457521,0.207086744785909,-0.0173203496457521,1,0.333333333333333,0.666666666666667
greenyellow,turquoise,2,0.0398116045440419,3,-0.113064342929032,0.019905802272021,-0.0376881143096774,0.666666666666667,1,-0.333333333333333
purple,turquoise,2,0.154380875863302,1,-0.054159980332751,0.0771904379316512,-0.054159980332751,1,0.5,0.5
magenta,turquoise,11,0.881302741457963,0,0,0.080118431041633,0,0.785714285714286,0,0.785714285714286
yellow,brown,11,0.553949212807507,1,-0.0159793318112249,0.050359019346137,-0.0159793318112249,1.375,0.125,1.25
brown,brown,36,3.59737800035986,1,-0.0333022358057694,0.0999271666766627,-0.0333022358057694,1.63636363636364,0.0454545454545455,1.59090909090909
red,brown,16,1.42123299504364,5,-0.101127938392259,0.0888270621902272,-0.0202255876784519,1.33333333333333,0.416666666666667,0.916666666666666
green,brown,1,0.0134938692912233,0,0,0.0134938692912233,0,1,0,1
purple,brown,1,0.0490631660873347,0,0,0.0490631660873347,0,0.5,0,0.5
blue,red,9,0.648117056906226,0,0,0.072013006322914,0,0.818181818181818,0,0.818181818181818
red,red,10,0.622292775083977,0,0,0.0622292775083977,0,0.833333333333333,0,0.833333333333333
black,red,2,0.0297709946425466,1,-0.0546829975936966,0.0148854973212733,-0.0546829975936966,0.666666666666667,0.333333333333333,0.333333333333333
purple,red,2,0.0403367541319982,0,0,0.0201683770659991,0,1,0,1
black,greenyellow,3,0.179258748459089,0,0,0.0597529161530298,0,1,0,1
green,greenyellow,1,0.0449570811041933,0,0,0.0449570811041933,0,1,0,1
turquoise,magenta,30,1.78756595207546,3,-0.0897633923757503,0.0595855317358487,-0.0299211307919168,1.03448275862069,0.103448275862069,0.931034482758621
red,magenta,9,0.84587131333309,5,-0.11959443427138,0.0939857014814545,-0.023918886854276,0.75,0.416666666666667,0.333333333333333
green,magenta,3,0.149901427589742,0,0,0.0499671425299141,0,3,0,3
purple,magenta,1,0.277816415826512,0,0,0.277816415826512,0,0.5,0,0.5
magenta,magenta,46,8.70266459827804,0,0,0.189188360832131,0,3.28571428571429,0,3.28571428571429
