source,target,n_pos,sum_pos,n_neg,sum_neg,mean_pos,mean_neg,score_pos,score_neg,delta
pink,pink,53,27.2909010582522,0,0,0.514922661476456,0,17.6666666666667,0,17.6666666666667
blue,pink,7,0.304121130761241,36,-1.17871929150267,0.0434458758230344,-0.0327422025417409,0.636363636363636,3.27272727272727,-2.63636363636364
yellow,pink,17,1.42594283586849,10,-0.273856061004385,0.0838789903452052,-0.0273856061004385,2.125,1.25,0.875
turquoise,pink,19,0.866018709317833,15,-0.312881217476868,0.0455799320693596,-0.0208587478317912,0.655172413793103,0.517241379310345,0.137931034482759
black,pink,21,1.47099392921456,0,0,0.0700473299625982,0,7,0,7
green,pink,9,0.492846980632543,3,-0.0592831491111247,0.0547607756258381,-0.0197610497037082,9,3,6
purple,pink,2,0.0784318788121531,1,-0.0202595344320006,0.0392159394060766,-0.0202595344320006,1,0.5,0.5
pink,blue,2,0.0991350127556676,7,-0.274736439821759,0.0495675063778338,-0.0392480628316799,0.666666666666667,2.33333333333333,-1.66666666666667
blue,blue,1078,142.471947576505,1,-0.0297611261517156,0.132163216675793,-0.0297611261517156,98,0.0909090909090909,97.9090909090909
yellow,blue,73,3.03387832013379,31,-1.11304215702087,0.041559976988134,-0.0359045857103507,9.125,3.875,5.25
turquoise,blue,239,9.18137701089813,64,-2.00092074565887,0.0384158033928792,-0.0312643866509199,8.24137931034483,2.20689655172414,6.03448275862069
brown,blue,144,7.75318638917001,127,-5.36895582312539,0.053841572147014,-0.0422752427017747,6.54545454545455,5.77272727272727,0.772727272727273
red,blue,85,6.09193989432026,3,-0.0493278717104188,0.0716698811096501,-0.0164426239034729,7.08333333333333,0.25,6.83333333333333
black,blue,15,0.487514036984858,5,-0.159119416091184,0.0325009357989906,-0.0318238832182368,5,1.66666666666667,3.33333333333333
greenyellow,blue,13,0.544529914617866,17,-0.630487720983498,0.0418869165090666,-0.0370875129990293,4.33333333333333,5.66666666666667,-1.33333333333333
green,blue,26,0.818073829982529,70,-6.81787114814676,0.0314643780762511,-0.0973981592592395,26,70,-44
purple,blue,7,0.274513474802506,13,-0.384491855160452,0.0392162106860722,-0.029576296550804,3.5,6.5,-3
magenta,blue,9,0.178925143939658,8,-0.3529851438381,0.0198805715488509,-0.0441231429797625,0.642857142857143,0.571428571428571,0.0714285714285715
pink,yellow,11,0.230562495211912,4,-0.0981013784884509,0.0209602268374466,-0.0245253446221127,3.66666666666667,1.33333333333333,2.33333333333333
blue,yellow,61,3.11176358115579,159,-5.86206771935243,0.0510125177238654,-0.0368683504361788,5.54545454545455,14.4545454545455,-8.90909090909091
yellow,yellow,381,63.168404479957,2,-0.0475989134062163,0.165796337217735,-0.0237994567031081,47.625,0.25,47.375
turquoise,yellow,26,1.07948616500585,173,-5.340049434523,0.0415186986540713,-0.0308673377718092,0.896551724137931,5.96551724137931,-5.06896551724138
brown,yellow,311,14.7116091727856,64,-2.0314498298048,0.047304209558796,-0.0317414035906999,14.1363636363636,2.90909090909091,11.2272727272727
red,yellow,20,0.707885063638927,31,-1.06395200420298,0.0353942531819464,-0.0343210323936445,1.66666666666667,2.58333333333333,-0.916666666666667
black,yellow,24,1.56025984448943,11,-0.256117392942869,0.0650108268537264,-0.0232833993584427,8,3.66666666666667,4.33333333333333
greenyellow,yellow,30,2.23491469032607,35,-1.37327107968066,0.0744971563442022,-0.0392363165623046,10,11.6666666666667,-1.66666666666667
green,yellow,124,6.44031328332685,15,-0.699013423367197,0.0519380103494101,-0.0466008948911465,124,15,109
purple,yellow,23,1.12457831208028,16,-0.461903815538363,0.0488947092208819,-0.0288689884711477,11.5,8,3.5
pink,turquoise,19,0.653473470907892,63,-5.02590066303566,0.0343933405740996,-0.079776201000566,6.33333333333333,21,-14.6666666666667
blue,turquoise,768,42.4129467000783,186,-10.1346015905697,0.055225191015727,-0.0544871053256435,69.8181818181818,16.9090909090909,52.9090909090909
yellow,turquoise,246,15.8580504999251,523,-70.3718548743817,0.0644636199183947,-0.134554215820998,30.75,65.375,-34.625
turquoise,turquoise,3136,390.19453384215,26,-0.879011621833496,0.124424277373134,-0.0338081393012883,108.137931034483,0.896551724137931,107.241379310345
brown,turquoise,142,7.78447866754608,1114,-97.3512115192413,0.0548202723066626,-0.087388879281186,6.45454545454545,50.6363636363636,-44.1818181818182
red,turquoise,57,2.59720162749261,127,-6.62803570831902,0.0455649408332037,-0.052189257545819,4.75,10.5833333333333,-5.83333333333333
black,turquoise,72,14.5405397636686,37,-1.67704956576697,0.201951941162064,-0.0453256639396478,24,12.3333333333333,11.6666666666667
greenyellow,turquoise,79,5.80687310934026,59,-4.56655281066145,0.0735047229030412,-0.0773992001807025,26.3333333333333,19.6666666666667,6.66666666666666
green,turquoise,264,25.7552335127999,78,-4.13949432285845,0.0975577026999995,-0.0530704400366468,264,78,186
purple,turquoise,53,6.47338019260941,40,-1.55292808840641,0.122139248917159,-0.0388232022101604,26.5,20,6.5
magenta,turquoise,65,3.95853760329696,6,-0.0830193838168742,0.0609005785122609,-0.013836563969479,4.64285714285714,0.428571428571429,4.21428571428571
