TF,avg_log2FC_deg,p_val_adj_deg,avg_log2FC_positive,p_val_adj_positive,avg_log2FC_negative,p_val_adj_negative,module,kME,direction
SHOX,-3.18844987217905,1.30279796204534e-24,-0.575835486242539,2.49556526226216e-122,0.856445693102356,8.64753975645897e-143,turquoise,0.146536135862519,Young_up
RORA,-0.658739557531158,1.28290634972967e-22,-0.444143102449778,2.07236913629975e-80,0.47231461578765,4.51346364992862e-82,turquoise,0.287047042112498,Young_up
TBX18,1.1278811867702,1.15415574284534e-06,0.635552457151562,3.79924558705602e-71,-0.356891892400167,1.47627342455773e-25,blue,0.137612948813499,Aged_up
PPARA,1.13035791706241,7.18885390869974e-08,0.561209674237386,5.40869735334087e-69,-0.4698265564457,1.19640740531723e-36,blue,0.373769959879367,Aged_up
SMAD3,1.10353564484201,3.22789771986868e-14,0.626385313054055,4.27045393539468e-65,-1.03723706378782,6.42696851845112e-50,brown,0.233330510884086,Aged_up
KLF2,-1.21090981785912,2.00643145292901e-12,-0.436913547779651,2.16204696978268e-57,0.488036459326654,9.88163035834072e-69,magenta,0.551585373439912,Young_up
GLIS3,2.49244298628727,4.85294497469377e-57,0.438014511060938,4.23970368189402e-56,-0.309793621549227,1.42149955263431e-14,brown,0.577234021397068,Aged_up
PKNOX2,0.319975302307238,1,0.525063194512173,5.10455627013244e-54,-0.361444012031404,4.02048063225567e-11,red,0.127237057727396,Aged_up
NFKB1,0.173824751766832,1,0.387320945083792,1.07563621615454e-52,-0.164163295985007,5.17576366140809e-07,brown,0.619595602300002,Aged_up
POU2F3,1.55098881314896,0.00186062180068675,0.546241259874561,5.70702959325814e-47,-0.111052110637909,0.0030648918358979,blue,0.310910529835178,Aged_up
ELK3,0.607008606748414,0.169103428890839,0.42632890715698,1.03698258143416e-44,-0.513427268631442,9.36542068035146e-37,brown,0.189656135249736,Aged_up
ETV6,0.617487468892835,0.0120489557535975,0.454276923208262,6.06890012008811e-44,-0.187826891590457,0.472850128087049,red,0.313387790754538,Aged_up
BCL6,0.301234376061392,0.00215306153995898,0.412494824982608,7.62495521859171e-43,-0.387621675093818,4.09620578904502e-39,blue,0.307812477729593,Aged_up
STAT1,0.328436881055433,1,0.423848258815419,8.45096914272297e-41,-0.38789874709885,1.97281602572952e-23,blue,0.180259360196755,Aged_up
RUNX3,2.57236246394152,1,0.626721371792877,7.52431830211125e-40,0.0495542459556404,1,blue,0.109784292518665,Aged_up
FOXC1,0.438345115969835,1,0.290332938833955,9.83399282152886e-38,-0.152545397993399,5.22292344164241e-11,yellow,0.351167087405226,Aged_up
SOX4,0.144347110664469,1,0.464216748821265,5.18733831249437e-36,-0.319488705633687,1.01108012168868e-34,greenyellow,0.138311556096763,Aged_up
ZNF331,0.82905534290149,0.955114502311745,0.314061682682455,3.54476816736611e-35,-0.160417833771222,1.04587440038879e-05,red,0.384972349653436,Aged_up
RFX2,-0.015345413518451,1,-0.346954706799358,8.20446343637221e-35,0.34298958594094,3.49849294805933e-11,magenta,0.189039932219197,Young_up
NR6A1,2.46544726002501,9.32753340516312e-05,0.437479922325405,5.62416589908902e-31,0.120786829675027,1,brown,0.0874962453972569,Aged_up
TEAD4,-0.065067456673769,1,-0.471394600462391,2.25494211202161e-30,0.4809219040712,9.03166243691283e-13,yellow,0.112392658173701,Young_up
TEAD1,0.314711254804632,1,0.375156459280598,4.95763094648142e-29,-0.65967010084584,2.91641319964827e-64,red,0.100323250709781,Aged_up
ETS2,0.776877394547715,3.48268709296274e-06,0.326834201485897,9.29395283596418e-29,-0.503586017452476,4.93675314713244e-33,brown,0.284967752150019,Aged_up
KLF6,-1.08140282980638,9.41523918706924e-18,-0.291121073972324,1.0047839066218e-28,0.466980875492118,3.13704702166777e-47,green,0.201550039945389,Young_up
RREB1,-0.828735844379447,0.0311584052857453,-0.422059026363834,1.35872524952178e-28,0.478334300463443,5.80297028461281e-37,turquoise,0.209204097376026,Young_up
NFATC3,0.408863731658643,0.0802417109473361,0.373041061634272,1.74576545444813e-28,-0.304194260780453,1.45296549675668e-06,red,0.139410640321588,Aged_up
FOXO1,-0.297869661088148,1,-0.313763805910728,4.32734805138694e-27,0.572780063068079,6.57412078846152e-54,magenta,0.216710113450515,Young_up
MSANTD3,0.503320819511872,1,0.31895331561647,5.1575612154961e-26,-0.394597241303254,1.42397352744765e-06,brown,0.196536724998638,Aged_up
RUNX2,-0.72518147231888,0.0223120245996354,-0.493946703860062,3.38452099143464e-24,0.446732581393608,1.02318897024248e-13,turquoise,0.216199933557667,Young_up
KLF5,-0.609408780348898,0.0609830126918737,-0.300867152538384,4.45989125021178e-24,0.141316506689379,4.95115379317428e-07,yellow,0.144383661551856,Young_up
CREM,0.14582932582485,1,0.354515909877801,1.447680584643e-23,-0.0218767396939255,1,red,0.227132688531669,Aged_up
MEOX2,-1.26617411336436,2.11703260472236e-08,-0.367534678722991,2.90778098001083e-22,0.298017276340606,6.57273500625802e-27,turquoise,0.361041924674925,Young_up
ETS1,0.438684028709553,0.000848948572320233,0.247205522902793,3.18549142220526e-21,-0.269257742545269,7.42225994705788e-07,brown,0.551630344765995,Aged_up
FOXP1,0.0122162833915756,1,0.224032302435808,7.33789815789492e-20,-0.371050284252652,2.05618101998976e-31,brown,0.0724092179271536,Aged_up
KLF4,0.144433517153607,1,-0.212760690404751,9.59210504438805e-20,0.20286153729701,3.65488664320294e-09,magenta,0.377279727644966,Aged_up
BNC2,-0.633278593105601,2.65338698898223e-08,-0.289904457076895,3.67557941516293e-19,0.514996026335385,6.94746987428844e-51,turquoise,0.262684531026828,Young_up
FOS,-1.11945803742733,4.74012556310382e-16,-0.289247473797365,4.40824376478798e-19,0.417725786157256,6.11578414259694e-36,magenta,0.761067101310413,Young_up
