tf,gene,Gain,Cover,Frequency,Cor,pass_abs_Cor_cutoff_0_10,figure_panel
SMAD3,GPRC5A,0.272489713778188,0.064,0.064,0.585729636324232,TRUE,Figure16A
SMAD3,HIVEP1,0.166468757600034,0.096,0.096,0.513311981831543,TRUE,Figure16A
SMAD3,EML4,0.157976311659896,0.076,0.076,0.632538415364559,TRUE,Figure16A
SMAD3,AGTR1,0.148883495182807,0.09,0.09,0.355125600775772,TRUE,Figure16A
SMAD3,MEDAG,0.139370626808556,0.09,0.09,0.598939439540581,TRUE,Figure16A
SMAD3,GALNT2,0.123562763734538,0.068,0.068,0.607008364728888,TRUE,Figure16A
SMAD3,HIVEP2,0.116991822309793,0.058,0.058,0.51257335143385,TRUE,Figure16A
SMAD3,SPAG17,0.103981033433475,0.08,0.08,0.348243022615539,TRUE,Figure16A
SMAD3,CLSTN2,0.102044723152367,0.038,0.038,0.324272508356572,TRUE,Figure16A
SMAD3,SRGAP1,0.0965666651543687,0.064,0.064,0.481433893939361,TRUE,Figure16A
SMAD3,LAMC2,0.0829741401979683,0.04,0.04,0.294378677086303,TRUE,Figure16A
SMAD3,FST,0.0753356143871507,0.072,0.072,0.436415792052246,TRUE,Figure16A
SMAD3,EPHA2,0.0752442883283637,0.0457477305303392,0.0457477305303392,0.223904276212272,TRUE,Figure16A
SMAD3,ZNRF3,0.0610700738857649,0.036,0.036,0.321330190595174,TRUE,Figure16A
SMAD3,CUX1,0.0588717523960971,0.058,0.058,0.461447584745074,TRUE,Figure16A
SMAD3,ICAM4,0.0580864336400403,0.038,0.038,0.359020560190697,TRUE,Figure16A
SMAD3,GCH1,0.0486228498404187,0.04,0.04,0.234349465466675,TRUE,Figure16A
SMAD3,TCF12,0.0459145908397597,0.028,0.028,0.291385840548191,TRUE,Figure16A
SMAD3,IL4R,0.0426603066389459,0.024,0.024,0.319903848751637,TRUE,Figure16A
SMAD3,PTPRE,0.0388561664619114,0.04,0.04,0.383870711395018,TRUE,Figure16A
SMAD3,TRIO,0.0334930972643045,0.076,0.076,0.511472796514966,TRUE,Figure16A
SMAD3,GLIS3,0.0318796789682253,0.06,0.06,0.388564692716523,TRUE,Figure16A
SMAD3,BARX2,0.0308648565488763,0.113028712565607,0.113028712565607,0.0411382255509806,FALSE,Figure16A
SMAD3,NFYB,0.023949182473476,0.0268479556771162,0.0268479556771162,0.0322387237396488,FALSE,Figure16A
SMAD3,GRK5,0.0194981830934062,0.04,0.04,0.0106161699457421,FALSE,Figure16A
SMAD3,TAF4B,0.0182364277267154,0.04,0.04,0.505029867845668,TRUE,Figure16A
SMAD3,DLG2,0.0173366204226973,0.034,0.034,0.294003111889913,TRUE,Figure16A
SMAD3,OSBPL8,0.0170177365445313,0.016,0.016,0.21647578236256,TRUE,Figure16A
SMAD3,EED,0.0169099068036128,0.014,0.014,0.248898057865187,TRUE,Figure16A
SMAD3,GADL1,0.019766011684622,0.034,0.034,-0.122174986707164,TRUE,Figure16A
SMAD3,ALG9,0.0241155041440673,0.0424242424242424,0.0424242424242424,-0.135849149518086,TRUE,Figure16A
SMAD3,DOCK5,0.0284078489171854,0.044,0.044,-0.407263451055173,TRUE,Figure16A
SMAD3,JAM2,0.0424703740052987,0.02,0.02,-0.240888885518107,TRUE,Figure16A
SMAD3,ITGA1,0.0435473867994431,0.062,0.062,-0.29115904351611,TRUE,Figure16A
SMAD3,AGPAT4,0.0469707797336459,0.078,0.078,-0.26600037463445,TRUE,Figure16A
SMAD3,NDNF,0.0477777814400574,0.036,0.036,-0.175871991900399,TRUE,Figure16A
SMAD3,SOX18,0.0579951636344101,0.0612462018459232,0.0612462018459232,-0.14697604287769,TRUE,Figure16A
SMAD3,OGN,0.0674454898896341,0.034,0.034,-0.337862654145768,TRUE,Figure16A
SMAD3,ZNF667,0.0676377169366992,0.094,0.094,-0.216640695322304,TRUE,Figure16A
SMAD3,A2M,0.0683554245912227,0.052,0.052,-0.309261910504241,TRUE,Figure16A
SMAD3,STX7,0.0810503823350587,0.028,0.028,-0.401889801130767,TRUE,Figure16A
SMAD3,COL1A1,0.0845628759008025,0.056,0.056,-0.318201961682398,TRUE,Figure16A
SMAD3,GIPR,0.0846318077918156,0.0748112560054907,0.0748112560054907,-0.20418323433472,TRUE,Figure16A
SMAD3,TNNC1,0.0890569730072012,0.068,0.068,-0.248454132841093,TRUE,Figure16A
SMAD3,SMOC2,0.089826207011191,0.046,0.046,-0.387450020759218,TRUE,Figure16A
SMAD3,TPD52L1,0.0968958677387843,0.06,0.06,-0.249287400926313,TRUE,Figure16A
SMAD3,EMB,0.125977303037443,0.088,0.088,-0.314980176426941,TRUE,Figure16A
SMAD3,MTM1,0.1627465821864,0.044,0.044,-0.324004062828773,TRUE,Figure16A
SMAD3,IL34,0.199949184016219,0.12,0.12,-0.287424352268045,TRUE,Figure16A
SMAD3,WDFY1,0.220646203527711,0.114,0.114,-0.278431328255232,TRUE,Figure16A
