tf,gene,Gain,Cover,Frequency,Cor,is_brown_hub_label
SMAD3,TBX20,0,0,0,0.0248815649447372,FALSE
SMAD3,GLIS3,0.0318796789682253,0.06,0.06,0.388564692716523,TRUE
SMAD3,ZSCAN16,0.00919527848877484,0.00731707317073171,0.00731707317073171,-0.0794789294373156,FALSE
SMAD3,SOX18,0.0579951636344101,0.0612462018459232,0.0612462018459232,-0.14697604287769,FALSE
SMAD3,BARX2,0.0308648565488763,0.113028712565607,0.113028712565607,0.0411382255509806,FALSE
SMAD3,CUX1,0.0588717523960971,0.058,0.058,0.461447584745074,FALSE
SMAD3,EN1,0,0,0,-0.092023805805675,FALSE
SMAD3,EN2,0,0,0,-7.7196863459911e-05,FALSE
SMAD3,ESR1,0.0120743996958097,0.062,0.062,-0.154432635876695,FALSE
SMAD3,GATA1,0,0,0,0.043918296785398,FALSE
SMAD3,GATA4,0,0,0,0.0588631390359681,FALSE
SMAD3,HOXA7,0,0,0,-0.0740313358383563,FALSE
SMAD3,KLF15,0.00737681363059916,0.01406292749658,0.01406292749658,-0.0804897082973723,FALSE
SMAD3,MEOX2,0.0161602300856038,0.036,0.036,-0.345839764783112,FALSE
SMAD3,MITF,0,0,0,-0.11310425592207,FALSE
SMAD3,MYCN,0,0,0,-0.0642689595555838,FALSE
SMAD3,MYF5,0,0,0,-0.128479110826359,FALSE
SMAD3,NFIB,0,0,0,-0.318320530773218,FALSE
SMAD3,NFYB,0.023949182473476,0.0268479556771162,0.0268479556771162,0.0322387237396488,FALSE
SMAD3,NR3C2,0.000406403013329485,0.004,0.004,-0.205424095171085,FALSE
SMAD3,OSR2,0.0002516170005138,0.002,0.002,-0.160253314892914,FALSE
SMAD3,PPARA,0.0143129379041665,0.034,0.034,0.150198305682642,FALSE
SMAD3,PRDM9,0,0,0,0.0269557663661287,FALSE
SMAD3,RUNX3,0,0,0,0.0614783179688771,FALSE
SMAD3,SOHLH2,0,0,0,-0.0635616581506198,FALSE
SMAD3,SOX9,0,0,0,0.0224900221287906,FALSE
