gene_name,module,kME
SLC4A7,brown,0.692748505720025
CD44,brown,0.687275612225128
TRIO,brown,0.657449275791756
ATP13A3,brown,0.648262241617024
CYTOR,brown,0.642783099674501
USP12,brown,0.638988509271069
GFPT2,brown,0.629437511288184
ABL2,brown,0.620462243082906
NFKB1,brown,0.619595602300002
CXCL2,brown,0.609343634242121
EXT1,brown,0.603862440273903
SPSB1,brown,0.599604774793483
GPRC5A,brown,0.591079716533136
GLIS3,brown,0.577234021397068
GEM,brown,0.568524513432613
XYLT1,brown,0.567915782067249
CTSL,brown,0.565277044606853
MEDAG,brown,0.558060107883065
ELL2,brown,0.556278524713834
ETS1,brown,0.551630344765995
