FAP,TF,n_Young,n_Aged,mean_Young,mean_Aged,mean_diff_Aged_minus_Young,median_Young,median_Aged,median_diff_Aged_minus_Young,W,p_value,p_adj_BH,p_significance,p_adj_significance
FAP1,ETS2,4499,7422,0.0769340686832502,-0.180734618482366,-0.257668687165616,0.0233114578256248,-0.188998483824046,-0.212309941649671,18547942,2.72950396093122e-24,2.18360316874497e-23,****,****
FAP1,ETS1,4499,7422,0.0673293840279859,-0.153237546030892,-0.220566930058878,0.00436615541138506,-0.164790086299516,-0.169156241710901,18150616,1.37745282559013e-15,5.50981130236051e-15,****,****
FAP1,FOS,4499,7422,-0.527338361142109,-0.00372523928605222,0.523613121856057,-0.552484828290445,-0.0591012973966118,0.493383530893833,13182231,6.44810237297584e-83,1.03169637967613e-81,****,****
FAP1,SMAD3,4499,7422,0.0127535679312411,-0.0496557913663357,-0.0624093592975768,0.0119882576072092,-0.0672375753459137,-0.0792258329531228,17291745,0.00106794898066515,0.00159228905367627,**,**
FAP2,ETS2,438,1035,0.361721200483115,0.0636529832690066,-0.298068217214109,0.223489570840213,0.0344406244739719,-0.189048946366241,248479,0.00346442852829147,0.00461923803772196,**,**
FAP2,ETS1,438,1035,0.356419029460072,-0.0820547685846041,-0.438473798044676,0.19329551364074,-0.12884887011273,-0.32214438375347,260081,7.53509653963314e-06,1.50701930792663e-05,****,****
FAP2,FOS,438,1035,0.882008880268956,1.72356852373553,0.841559643466575,0.769374659979745,1.7271828789193,0.957808218939556,163171,1.75873272964211e-17,9.3799078914246e-17,****,****
FAP2,SMAD3,438,1035,-0.0547427545700014,-0.0647633160261566,-0.0100205614561552,-0.0983115158164324,-0.088228478289367,0.0100830375270654,228309,0.825681022733065,0.880726424248603,ns,ns
FAP3,ETS2,513,690,0.0109874938961674,-0.484017898591408,-0.495005392487576,-0.0123751215128049,-0.504400717359783,-0.492025595846978,218587,2.93572885164542e-12,7.82861027105446e-12,****,****
FAP3,ETS1,513,690,0.0623595778709971,-0.476262201772855,-0.538621779643853,0.0604943574129819,-0.466238028259326,-0.526732385672308,219775,6.96531153252824e-13,2.22889969040904e-12,****,****
FAP3,FOS,513,690,-0.955824558448559,-0.394220503362927,0.561604055085633,-0.880048534568562,-0.374143834504804,0.505904700063758,139391,2.8226064834696e-10,6.45167196221623e-10,****,****
FAP3,SMAD3,513,690,0.142805260084047,-0.058547712175323,-0.201352972259371,0.0956029033192606,-0.119562384797251,-0.215165288116511,196443,0.00109469872440244,0.00159228905367627,**,**
FAP4,ETS2,29,438,0.487944179031196,0.435743921704349,-0.0522002573268467,0.14668678892412,0.345896136693574,0.199209347769454,6277,0.916829317760067,0.916829317760067,ns,ns
FAP4,ETS1,29,438,0.76805800519849,0.360592209987634,-0.407465795210856,0.631062585880759,0.233770260654932,-0.397292325225827,7451,0.1182491466427,0.145537411252554,ns,ns
FAP4,FOS,29,438,1.56857234591864,3.01339510354625,1.44482275762761,1.49014064927057,3.12283069156378,1.63269004229321,3288,1.35402561719841e-05,2.40715665279717e-05,****,****
FAP4,SMAD3,29,438,0.285335185836368,0.144638295795592,-0.140696890040776,-0.0885053656454017,0.168639067261566,0.257144432906968,6550,0.777922077466187,0.880726424248603,ns,ns
