condition,cell_group,outgoing_interaction_strength,incoming_interaction_strength,number_of_links,group_order,dot_size_global_min,dot_size_global_max
Aged,FAP3,6.78556969220147,6.66914780014321,243,1,75,277
Aged,Other FAPs,8.83358464438016,5.2521144035407,277,2,75,277
Aged,MuSC,4.36207422495473,2.65250485639754,167,3,75,277
Aged,Myogenic,0.308118971467613,0.458041090424547,91,4,75,277
Aged,Immune,0.0401735859384535,5.68154920147881,89,5,75,277
Aged,Endothelial,2.84929000191541,3.98961367334551,223,6,75,277
Aged,Vascular stromal,4.66094209051303,3.13678218604055,199,7,75,277
Young,FAP3,9.79124048551665,5.28157614199179,232,1,75,277
Young,Other FAPs,11.4860457442233,6.05523592906163,259,2,75,277
Young,MuSC,4.77237219349636,5.70717396131039,192,3,75,277
Young,Myogenic,0.652634884407937,0.496074959979603,75,4,75,277
Young,Immune,0.0465115406468754,6.19276415314689,92,5,75,277
Young,Endothelial,2.56108544701319,4.41814675026932,192,6,75,277
Young,Vascular stromal,4.84262380150271,6.00154220104743,205,7,75,277
