condition,pattern,pathway,cell_group,raw_score,row_scaled_score,cell_total_raw,pathway_total_raw,pathway_order,group_order
Aged,incoming,COLLAGEN,FAP3,4.11594759066694,1,6.66914780014321,15.8678988445276,1,1
Aged,incoming,COLLAGEN,Other FAPs,3.33573603794919,0.81044181551609,5.2521144035407,15.8678988445276,1,2
Aged,incoming,COLLAGEN,MuSC,1.35279270296427,0.328671022447364,2.65250485639754,15.8678988445276,1,3
Aged,incoming,COLLAGEN,Myogenic,0,0,0.458041090424547,15.8678988445276,1,4
Aged,incoming,COLLAGEN,Immune,3.31082237189846,0.804388855534961,5.68154920147881,15.8678988445276,1,5
Aged,incoming,COLLAGEN,Endothelial,2.01630806397647,0.489877001482846,3.98961367334551,15.8678988445276,1,6
Aged,incoming,COLLAGEN,Vascular stromal,1.73629207707231,0.421845040254985,3.13678218604055,15.8678988445276,1,7
Aged,incoming,LAMININ,FAP3,1.72217908760594,1,6.66914780014321,8.57568544305728,2,1
Aged,incoming,LAMININ,Other FAPs,1.22268730738318,0.709965250526227,5.2521144035407,8.57568544305728,2,2
Aged,incoming,LAMININ,MuSC,1.04884899936733,0.609024349973596,2.65250485639754,8.57568544305728,2,3
Aged,incoming,LAMININ,Myogenic,0.316180900215166,0.183593508068141,0.458041090424547,8.57568544305728,2,4
Aged,incoming,LAMININ,Immune,1.58834222030991,0.922286324192868,5.68154920147881,8.57568544305728,2,5
Aged,incoming,LAMININ,Endothelial,1.55372138207951,0.902183398498577,3.98961367334551,8.57568544305728,2,6
Aged,incoming,LAMININ,Vascular stromal,1.12372554609624,0.652502143466607,3.13678218604055,8.57568544305728,2,7
Aged,incoming,FN1,FAP3,0.691548700367669,1,6.66914780014321,2.41997950156997,3,1
Aged,incoming,FN1,Other FAPs,0.528940088963241,0.764863108964017,5.2521144035407,2.41997950156997,3,2
Aged,incoming,FN1,MuSC,0.196516450009178,0.284168634695862,2.65250485639754,2.41997950156997,3,3
Aged,incoming,FN1,Myogenic,0,0,0.458041090424547,2.41997950156997,3,4
Aged,incoming,FN1,Immune,0.664641162868524,0.961090900055427,5.68154920147881,2.41997950156997,3,5
Aged,incoming,FN1,Endothelial,0.179663982915665,0.259799465778975,3.98961367334551,2.41997950156997,3,6
Aged,incoming,FN1,Vascular stromal,0.158669116445695,0.22944026409324,3.13678218604055,2.41997950156997,3,7
Aged,incoming,THBS,FAP3,0.0766928683195331,0.584746326300899,6.66914780014321,0.543356915969149,4,1
Aged,incoming,THBS,Other FAPs,0.0766928683195331,0.584746326300899,5.2521144035407,0.543356915969149,4,2
Aged,incoming,THBS,MuSC,0,0,2.65250485639754,0.543356915969149,4,3
Aged,incoming,THBS,Myogenic,0.119451617545144,0.910761274949378,0.458041090424547,0.543356915969149,4,4
Aged,incoming,THBS,Immune,0.0265963148638834,0.202784140827822,5.68154920147881,0.543356915969149,4,5
Aged,incoming,THBS,Endothelial,0.131155793324418,1,3.98961367334551,0.543356915969149,4,6
Aged,incoming,THBS,Vascular stromal,0.112767453596638,0.859797731677046,3.13678218604055,0.543356915969149,4,7
Aged,incoming,HSPG,FAP3,0,0,6.66914780014321,0.0448171453284757,5,1
Aged,incoming,HSPG,Other FAPs,0,0,5.2521144035407,0.0448171453284757,5,2
Aged,incoming,HSPG,MuSC,0.0224085726642378,1,2.65250485639754,0.0448171453284757,5,3
Aged,incoming,HSPG,Myogenic,0.0224085726642378,1,0.458041090424547,0.0448171453284757,5,4
Aged,incoming,HSPG,Immune,0,0,5.68154920147881,0.0448171453284757,5,5
Aged,incoming,HSPG,Endothelial,0,0,3.98961367334551,0.0448171453284757,5,6
Aged,incoming,HSPG,Vascular stromal,0,0,3.13678218604055,0.0448171453284757,5,7
Aged,incoming,TENASCIN,FAP3,0.0513675856748812,0.652141982680775,6.66914780014321,0.181502659165412,6,1
Aged,incoming,TENASCIN,Other FAPs,0.0513675856748812,0.652141982680775,5.2521144035407,0.181502659165412,6,2
Aged,incoming,TENASCIN,MuSC,0,0,2.65250485639754,0.181502659165412,6,3
Aged,incoming,TENASCIN,Myogenic,0,0,0.458041090424547,0.181502659165412,6,4
Aged,incoming,TENASCIN,Immune,0,0,5.68154920147881,0.181502659165412,6,5
Aged,incoming,TENASCIN,Endothelial,0.0787674878156492,1,3.98961367334551,0.181502659165412,6,6
Aged,incoming,TENASCIN,Vascular stromal,0,0,3.13678218604055,0.181502659165412,6,7
Aged,incoming,ICAM,FAP3,0,0,6.66914780014321,0.0793157213615141,7,1
Aged,incoming,ICAM,Other FAPs,0,0,5.2521144035407,0.0793157213615141,7,2
Aged,incoming,ICAM,MuSC,0,0,2.65250485639754,0.0793157213615141,7,3
Aged,incoming,ICAM,Myogenic,0,0,0.458041090424547,0.0793157213615141,7,4
Aged,incoming,ICAM,Immune,0.0793157213615141,1,5.68154920147881,0.0793157213615141,7,5
Aged,incoming,ICAM,Endothelial,0,0,3.98961367334551,0.0793157213615141,7,6
Aged,incoming,ICAM,Vascular stromal,0,0,3.13678218604055,0.0793157213615141,7,7
Aged,incoming,TGFb,FAP3,0.00448769737901059,0.150764645009896,6.66914780014321,0.0422105380263267,8,1
Aged,incoming,TGFb,Other FAPs,0.0297662451214344,1,5.2521144035407,0.0422105380263267,8,2
Aged,incoming,TGFb,MuSC,0,0,2.65250485639754,0.0422105380263267,8,3
Aged,incoming,TGFb,Myogenic,0,0,0.458041090424547,0.0422105380263267,8,4
Aged,incoming,TGFb,Immune,0.00795659552588174,0.267302627302235,5.68154920147881,0.0422105380263267,8,5
Aged,incoming,TGFb,Endothelial,0,0,3.98961367334551,0.0422105380263267,8,6
Aged,incoming,TGFb,Vascular stromal,0,0,3.13678218604055,0.0422105380263267,8,7
Aged,incoming,JAM,FAP3,0.00692427012923585,0.916954200429306,6.66914780014321,0.0362129407124904,9,1
Aged,incoming,JAM,Other FAPs,0.00692427012923585,0.916954200429306,5.2521144035407,0.0362129407124904,9,2
Aged,incoming,JAM,MuSC,0.00755138056622021,1,2.65250485639754,0.0362129407124904,9,3
Aged,incoming,JAM,Myogenic,0,0,0.458041090424547,0.0362129407124904,9,4
Aged,incoming,JAM,Immune,0.00387481465062979,0.513126655007046,5.68154920147881,0.0362129407124904,9,5
Aged,incoming,JAM,Endothelial,0.00561021240749493,0.742938639934431,3.98961367334551,0.0362129407124904,9,6
Aged,incoming,JAM,Vascular stromal,0.00532799282967381,0.70556539734041,3.13678218604055,0.0362129407124904,9,7
Aged,incoming,CDH5,FAP3,0,0,6.66914780014321,0.0243867508263049,10,1
Aged,incoming,CDH5,Other FAPs,0,0,5.2521144035407,0.0243867508263049,10,2
Aged,incoming,CDH5,MuSC,0,0,2.65250485639754,0.0243867508263049,10,3
Aged,incoming,CDH5,Myogenic,0,0,0.458041090424547,0.0243867508263049,10,4
Aged,incoming,CDH5,Immune,0,0,5.68154920147881,0.0243867508263049,10,5
Aged,incoming,CDH5,Endothelial,0.0243867508263049,1,3.98961367334551,0.0243867508263049,10,6
Aged,incoming,CDH5,Vascular stromal,0,0,3.13678218604055,0.0243867508263049,10,7
Aged,incoming,CDH,FAP3,0,0,6.66914780014321,0.0243867508263049,11,1
Aged,incoming,CDH,Other FAPs,0,0,5.2521144035407,0.0243867508263049,11,2
Aged,incoming,CDH,MuSC,0.0243867508263049,1,2.65250485639754,0.0243867508263049,11,3
Aged,incoming,CDH,Myogenic,0,0,0.458041090424547,0.0243867508263049,11,4
Aged,incoming,CDH,Immune,0,0,5.68154920147881,0.0243867508263049,11,5
Aged,incoming,CDH,Endothelial,0,0,3.98961367334551,0.0243867508263049,11,6
Aged,incoming,CDH,Vascular stromal,0,0,3.13678218604055,0.0243867508263049,11,7
Aged,outgoing,COLLAGEN,FAP3,3.57134226396995,0.735166949529122,6.78556969220147,15.8678988445276,1,1
Aged,outgoing,COLLAGEN,Other FAPs,4.85786564025683,1,8.83358464438016,15.8678988445276,1,2
Aged,outgoing,COLLAGEN,MuSC,1.63098567876012,0.335741208082053,4.36207422495473,15.8678988445276,1,3
Aged,outgoing,COLLAGEN,Myogenic,0.225606671474219,0.0464415214790279,0.308118971467613,15.8678988445276,1,4
Aged,outgoing,COLLAGEN,Immune,0,0,0.0401735859384535,15.8678988445276,1,5
Aged,outgoing,COLLAGEN,Endothelial,2.07469098502152,0.427078708770511,2.84929000191541,15.8678988445276,1,6
Aged,outgoing,COLLAGEN,Vascular stromal,3.50740760504499,0.7220058899899,4.66094209051303,15.8678988445276,1,7
Aged,outgoing,LAMININ,FAP3,2.3627720040276,0.833982305097014,6.78556969220147,8.57568544305728,2,1
Aged,outgoing,LAMININ,Other FAPs,2.83312006692126,1,8.83358464438016,8.57568544305728,2,2
Aged,outgoing,LAMININ,MuSC,1.70060126754428,0.600257393747634,4.36207422495473,8.57568544305728,2,3
Aged,outgoing,LAMININ,Myogenic,0.0825122999933935,0.0291241804245379,0.308118971467613,8.57568544305728,2,4
Aged,outgoing,LAMININ,Immune,0,0,0.0401735859384535,8.57568544305728,2,5
Aged,outgoing,LAMININ,Endothelial,0.626411657850518,0.221103110017938,2.84929000191541,8.57568544305728,2,6
Aged,outgoing,LAMININ,Vascular stromal,0.970268146720239,0.342473359335817,4.66094209051303,8.57568544305728,2,7
Aged,outgoing,FN1,FAP3,0.569367055061477,0.569209370775959,6.78556969220147,2.41997950156997,3,1
Aged,outgoing,FN1,Other FAPs,0.815827481992137,0.815601541322651,8.83358464438016,2.41997950156997,3,2
Aged,outgoing,FN1,MuSC,1.00027702334785,1,4.36207422495473,2.41997950156997,3,3
Aged,outgoing,FN1,Myogenic,0,0,0.308118971467613,2.41997950156997,3,4
Aged,outgoing,FN1,Immune,0.0115026470561709,0.0114994614368652,0.0401735859384535,2.41997950156997,3,5
Aged,outgoing,FN1,Endothelial,0.0115026470561709,0.0114994614368652,2.84929000191541,2.41997950156997,3,6
Aged,outgoing,FN1,Vascular stromal,0.0115026470561709,0.0114994614368652,4.66094209051303,2.41997950156997,3,7
Aged,outgoing,THBS,FAP3,0.181118971989716,0.819113062842067,6.78556969220147,0.543356915969149,4,1
Aged,outgoing,THBS,Other FAPs,0.221115960916665,1,8.83358464438016,0.543356915969149,4,2
Aged,outgoing,THBS,MuSC,0,0,4.36207422495473,0.543356915969149,4,3
Aged,outgoing,THBS,Myogenic,0,0,0.308118971467613,0.543356915969149,4,4
Aged,outgoing,THBS,Immune,0,0,0.0401735859384535,0.543356915969149,4,5
Aged,outgoing,THBS,Endothelial,0,0,2.84929000191541,0.543356915969149,4,6
Aged,outgoing,THBS,Vascular stromal,0.141121983062767,0.638226125684133,4.66094209051303,0.543356915969149,4,7
Aged,outgoing,HSPG,FAP3,0.0116019662175514,0.837775390114062,6.78556969220147,0.0448171453284757,5,1
Aged,outgoing,HSPG,Other FAPs,0.0138485402584717,1,8.83358464438016,0.0448171453284757,5,2
Aged,outgoing,HSPG,MuSC,0.00388233631745055,0.280342638645656,4.36207422495473,0.0448171453284757,5,3
Aged,outgoing,HSPG,Myogenic,0,0,0.308118971467613,0.0448171453284757,5,4
Aged,outgoing,HSPG,Immune,0,0,0.0401735859384535,0.0448171453284757,5,5
Aged,outgoing,HSPG,Endothelial,0.0116019662175514,0.837775390114062,2.84929000191541,0.0448171453284757,5,6
Aged,outgoing,HSPG,Vascular stromal,0.00388233631745055,0.280342638645656,4.66094209051303,0.0448171453284757,5,7
Aged,outgoing,TENASCIN,FAP3,0.0785068009562272,0.951434522088853,6.78556969220147,0.181502659165412,6,1
Aged,outgoing,TENASCIN,Other FAPs,0.0825141395793242,1,8.83358464438016,0.181502659165412,6,2
Aged,outgoing,TENASCIN,MuSC,0,0,4.36207422495473,0.181502659165412,6,3
Aged,outgoing,TENASCIN,Myogenic,0,0,0.308118971467613,0.181502659165412,6,4
Aged,outgoing,TENASCIN,Immune,0,0,0.0401735859384535,0.181502659165412,6,5
Aged,outgoing,TENASCIN,Endothelial,0,0,2.84929000191541,0.181502659165412,6,6
