cell_type,TF,motif_id,n_Veh,n_EP,mean_Veh,mean_EP,mean_diff_EP_minus_Veh,median_Veh,median_EP,median_diff_EP_minus_Veh,wilcoxon_p_value,p_adj_BH,p_significance,p_adj_significance
Pgr- Fibroblast,ETS2,MA1484.2,3496,3680,-0.0431655899261327,0.0159512045180402,0.0591167944441728,-0.0547240128961932,-0.00954329664183748,0.0451807162543558,0.0361825982665315,0.0817881808593883,*,ns
Pgr- Fibroblast,ETS1,MA0098.4,3496,3680,-0.0251228084951765,0.0496407491433961,0.0747635576385726,-0.0320982612468826,0.0369764444788548,0.0690747057257373,0.00275523470920827,0.0110209388368331,**,*
Pgr- Fibroblast,FOS,MA1127.1,3496,3680,0.501380965408265,0.320655730839268,-0.180725234568997,0.462410343285307,0.286781506913286,-0.175628836372021,5.94932978273642e-12,7.1391957392837e-11,****,****
Pgr- Fibroblast,SMAD3,MA0795.1,3496,3680,-0.0183326377432156,0.0568861915738123,0.0752188293170279,-0.039635311366495,0.033858928284413,0.073494239650908,0.00207794543275391,0.0110209388368331,**,*
Pgr+ Fibroblast,ETS2,MA1484.2,3,261,-0.772784146781587,-0.0184964701839379,0.754287676597649,-1.31247976108612,-0.0525462215258683,1.25993353956025,0.178287512491296,0.305635735699365,ns,ns
Pgr+ Fibroblast,ETS1,MA0098.4,3,261,-0.389521241287957,0.106634210335855,0.496155451623811,-0.531559146166165,0.0987993999273651,0.63035854609353,0.250835587184181,0.369756971614557,ns,ns
Pgr+ Fibroblast,FOS,MA1127.1,3,261,0.629241857883235,0.648127231526935,0.0188853736437002,0.389386653024634,0.593329066571013,0.203942413546378,0.993932319835806,0.993932319835806,ns,ns
Pgr+ Fibroblast,SMAD3,MA0795.1,3,261,0.317937921430665,0.0935633934580643,-0.224374527972601,0.704681059481996,0.0493393642229957,-0.655341695259,0.558165681293818,0.669798817552581,ns,ns
Adipocytes,ETS2,MA1484.2,12,9,-0.232181034088678,0.981942231142508,1.21412326523119,-0.372074349283416,0.592684880785133,0.964759230068549,0.00562038580614432,0.016861157418433,**,*
Adipocytes,ETS1,MA0098.4,12,9,-0.173341273700085,0.762797131312392,0.936138405012477,-0.317914912913249,0.418169048336474,0.736083961249722,0.0408940904296941,0.0817881808593883,*,ns
Adipocytes,FOS,MA1127.1,12,9,-0.605534082993023,-0.0569639016269432,0.54857018136608,-0.531386249360407,-0.180869242587779,0.350517006772627,0.277317728710918,0.369756971614557,ns,ns
Adipocytes,SMAD3,MA0795.1,12,9,0.37833173880864,0.193381407893597,-0.184950330915043,0.191534702836768,-0.0535906720201672,-0.245125374856935,0.754370088116218,0.822949187035875,ns,ns
