cell_type,TF,motif_id,condition,n,mean_chromVAR,median_chromVAR,sd_chromVAR,cell_type_order,TF_order,condition_order
Pgr- Fibroblast,ETS2,MA1484.2,Veh,3496,-0.0431655899261327,-0.0547240128961932,0.959713169872004,1,1,1
Pgr- Fibroblast,ETS2,MA1484.2,EP,3680,0.0159512045180402,-0.00954329664183748,0.95016571110826,1,1,2
Pgr- Fibroblast,ETS1,MA0098.4,Veh,3496,-0.0251228084951765,-0.0320982612468826,0.947005161597344,1,2,1
Pgr- Fibroblast,ETS1,MA0098.4,EP,3680,0.049640749143396,0.0369764444788548,0.929587756557379,1,2,2
Pgr- Fibroblast,FOS,MA1127.1,Veh,3496,0.501380965408266,0.462410343285307,1.11916009151645,1,3,1
Pgr- Fibroblast,FOS,MA1127.1,EP,3680,0.320655730839269,0.286781506913286,1.04634061144641,1,3,2
Pgr- Fibroblast,SMAD3,MA0795.1,Veh,3496,-0.0183326377432156,-0.039635311366495,1.01483759220455,1,4,1
Pgr- Fibroblast,SMAD3,MA0795.1,EP,3680,0.0568861915738124,0.033858928284413,1.01885937136681,1,4,2
Pgr+ Fibroblast,ETS2,MA1484.2,Veh,3,-0.772784146781587,-1.31247976108612,1.06232525578073,2,1,1
Pgr+ Fibroblast,ETS2,MA1484.2,EP,261,-0.0184964701839378,-0.0525462215258683,0.930713811445661,2,1,2
Pgr+ Fibroblast,ETS1,MA0098.4,Veh,3,-0.389521241287957,-0.531559146166165,0.526953001870127,2,2,1
Pgr+ Fibroblast,ETS1,MA0098.4,EP,261,0.106634210335855,0.0987993999273651,0.879340841799902,2,2,2
Pgr+ Fibroblast,FOS,MA1127.1,Veh,3,0.629241857883235,0.389386653024634,0.879195625395173,2,3,1
Pgr+ Fibroblast,FOS,MA1127.1,EP,261,0.648127231526935,0.593329066571013,0.978437244538029,2,3,2
Pgr+ Fibroblast,SMAD3,MA0795.1,Veh,3,0.317937921430665,0.704681059481996,0.926492316982758,2,4,1
Pgr+ Fibroblast,SMAD3,MA0795.1,EP,261,0.0935633934580643,0.0493393642229957,0.914618503940004,2,4,2
Adipocytes,ETS2,MA1484.2,Veh,12,-0.232181034088678,-0.372074349283416,0.869761874291307,3,1,1
Adipocytes,ETS2,MA1484.2,EP,9,0.981942231142508,0.592684880785133,0.92096558578973,3,1,2
Adipocytes,ETS1,MA0098.4,Veh,12,-0.173341273700085,-0.317914912913249,0.862257592391766,3,2,1
Adipocytes,ETS1,MA0098.4,EP,9,0.762797131312392,0.418169048336474,1.09345174090958,3,2,2
Adipocytes,FOS,MA1127.1,Veh,12,-0.605534082993023,-0.531386249360407,1.03894953135938,3,3,1
Adipocytes,FOS,MA1127.1,EP,9,-0.0569639016269432,-0.180869242587779,0.846448545272112,3,3,2
Adipocytes,SMAD3,MA0795.1,Veh,12,0.37833173880864,0.191534702836768,1.1435267443125,3,4,1
Adipocytes,SMAD3,MA0795.1,EP,9,0.193381407893597,-0.0535906720201672,0.865845595096771,3,4,2
