sample,r,theo,border,trans,iso
1450Veh,0,0,0,0,0
1450Veh,1.83351135253906,10.5612927081648,163.752714708751,163.813767264137,163.752714708751
1450Veh,3.66702270507813,42.245170832659,545.842382362504,546.247360546459,545.842382362504
1450Veh,5.50053405761719,95.0516343734828,873.347811780007,874.238752958042,873.347811780007
1450Veh,7.33404541015625,168.980683330636,1314.22050522665,1316.02203970267,1314.22050522665
1450Veh,9.16755676269531,264.032317704119,1729.90047333348,1732.77294105598,1729.90047333348
1450Veh,11.0010681152344,380.206537493931,2263.14649302608,2267.73644569849,2263.14649302608
1450Veh,12.8345794677734,517.503342700073,2746.00706203906,2752.42533594603,2746.00706203906
1450Veh,14.6680908203125,675.922733322545,3237.26520616531,3245.83065719591,3237.26520616531
1450Veh,16.5016021728516,855.464709361345,3693.00308082123,3705.73886819441,3694.93304983849
1450Veh,18.3351135253906,1056.12927081648,4256.62769680078,4271.5041278855,4257.57058242753
1450Veh,20.1686248779297,1277.91641768794,4862.31385128627,4879.88246316472,4862.19599058292
1450Veh,22.0021362304688,1520.82614997573,5497.44308272591,5518.15423240115,5496.21291163476
1450Veh,23.8356475830078,1784.85846767984,6178.84000652208,6203.37529692881,6176.41649580957
1450Veh,25.6691589355469,2070.01337080029,6952.77231503131,6982.0626046277,6948.99340623034
1450Veh,27.5026702880859,2376.29085933707,7716.64899848772,7756.94652711611,7718.08463230957
1450Veh,29.336181640625,2703.69093329018,8443.94625739213,8485.67135797714,8440.27609205073
1450Veh,31.1696929931641,3052.21359265962,9252.94709642371,9299.64147803448,9246.44330292459
1450Veh,33.0032043457031,3421.85883744538,10163.0730403342,10224.4285479699,10166.5487838607
1450Veh,34.8367156982422,3812.62666764748,11119.5479906476,11187.9092400393,11119.6735592168
1450Veh,36.6702270507813,4224.5170832659,12122.3719473639,12203.0446845852,12125.799847102
1450Veh,38.5037384033203,4657.53008430066,13196.8261867027,13299.4529696637,13216.8426315081
1450Veh,40.3372497558594,5111.66567075174,14338.6971626275,14451.7313865797,14354.7140593561
1450Veh,42.1707611083984,5586.92384261916,15476.3545925156,15600.4841050322,15488.3866996474
1450Veh,44.0042724609375,6083.3045999029,16626.6526605136,16775.414732122,16655.5617509782
1450Veh,45.8377838134766,6600.80794260297,17869.6487413174,18040.4097345919,17905.805645848
1450Veh,47.6712951660156,7139.43387071938,19099.9337729517,19276.3988850358,19123.454037272
1450Veh,49.5048065185547,7699.18238425211,20483.1923902023,20675.1280982146,20500.6563558482
1450Veh,51.3383178710938,8280.05348320117,21739.9334509971,21951.150545702,21759.1131629167
1450Veh,53.1718292236328,8882.04716756656,23135.8438238934,23377.0723512809,23169.5374647871
1450Veh,55.0053405761719,9505.16343734828,24552.8404561989,24816.8095238525,24587.6114417155
1450Veh,56.8388519287109,10149.4022925463,25957.1853328589,26240.16402339,25985.8076980748
1450Veh,58.67236328125,10814.7637331607,27530.2202847933,27835.568059909,27551.9554566995
1450Veh,60.5058746337891,11501.2477591914,29069.5172216728,29397.7622994567,29084.5129148712
1450Veh,62.3393859863281,12208.8543706385,30656.8633584704,30998.9347688422,30657.9839909145
1450Veh,64.1728973388672,12937.5835675018,32239.7249527739,32614.2252707051,32246.6746168979
1450Veh,66.0064086914063,13687.4353497815,33903.3804183671,34286.2858054022,33884.2017639854
1450Veh,67.8399200439453,14458.4097174776,35725.8245391349,36156.7950359239,35717.3172916681
1450Veh,69.6734313964844,15250.5066705899,37692.0345534204,38156.8445470464,37674.5274920325
1450Veh,71.5069427490234,16063.7262091186,39603.2752554785,40119.518051104,39601.486747308
1450Veh,73.3404541015625,16898.0683330636,41676.8166245846,42233.7526013196,41669.1918860506
1450Veh,75.1739654541016,17753.533042425,43625.3211115557,44224.5463445784,43615.3866572272
1450Veh,77.0074768066406,18630.1203372026,45711.6321233377,46323.8124348261,45668.3404856137
1450Veh,78.8409881591797,19527.8302173966,47911.8278412552,48596.7853754288,47908.0796389571
1450Veh,80.6744995117188,20446.662683007,50181.5820177185,50918.2572507899,50180.7058461936
1450Veh,82.5080108642578,21386.6177340336,52327.4701680548,53124.6759938971,52339.9614362805
1450Veh,84.3415222167969,22347.6953704766,54443.0484012944,55298.0130646143,54464.8730953491
1450Veh,86.175033569336,23329.895592336,56622.1719345536,57542.6745229447,56659.9374419152
1450Veh,88.008544921875,24333.2183996116,58821.132687611,59814.0805027426,58878.4882904409
1450Veh,89.8420562744141,25357.6637923036,60985.9348270288,62047.2466255307,61058.8923702611
1450Veh,91.6755676269531,26403.2317704119,63334.33951476,64463.440896051,63424.2033611381
1450Veh,93.5090789794922,27469.9223339365,65567.4588814572,66773.4519761952,65685.3383585144
1450Veh,95.3425903320313,28557.7354828775,67996.9902765829,69266.989761707,68114.7959551262
1450Veh,97.1761016845703,29666.6712172348,70604.6784784759,71947.2167666506,70728.7523764898
1450Veh,99.0096130371094,30796.7295370084,73091.9324506611,74486.042324426,73195.6251311456
1450Veh,100.843124389648,31947.9104421984,75775.7735065586,77256.2602849975,75894.841471572
1450Veh,102.676635742188,33120.2139328047,78371.3398480444,79907.4792412525,78472.3674143635
1450Veh,104.510147094727,34313.6400088273,81108.5415691307,82723.83277796,81218.9351851337
1450Veh,106.343658447266,35528.1886702662,83578.2333619241,85289.8868241096,83724.8453471103
1450Veh,108.177169799805,36763.8599171215,86357.455162023,88175.4521977969,86537.2833002748
1450Veh,110.010681152344,38020.6537493931,89059.4763565636,90958.1831558334,89245.2749701041
1450Veh,111.844192504883,39298.5701670811,92045.4073280656,94042.9091284318,92257.3908158207
1450Veh,113.677703857422,40597.6091701853,94882.0115145449,96907.2725041056,95050.601319236
1450Veh,115.511215209961,41917.7707587059,97814.8642980466,99856.3634891954,97908.4708479263
1450Veh,117.3447265625,43259.0549326429,100673.762862215,102772.57523625,100725.643647844
1450Veh,119.178237915039,44621.4616919961,103459.356334995,105637.833858868,103504.524601371
1450Veh,121.011749267578,46004.9910367657,106232.013615177,108505.117254149,106281.153529764
1450Veh,122.845260620117,47409.6429669516,109287.472381471,111670.528719932,109355.803613616
1450Veh,124.678771972656,48835.4174825538,112615.843858901,115047.346923318,112619.987155067
1450Veh,126.512283325195,50282.3145835724,115742.496928615,118238.741521787,115701.921386604
1450Veh,128.345794677734,51750.3342700073,118991.750469567,121540.569559383,118885.396602444
1450Veh,130.179306030273,53239.4765418585,122093.133503902,124722.025499102,121953.519758851
1450Veh,132.012817382813,54749.7413991261,125424.088187426,128173.219571299,125290.177201779
1450Veh,133.846328735352,56281.12884181,128703.064384341,131538.485533905,128534.088176381
1450Veh,135.679840087891,57833.6388699102,132029.687527315,134957.870373244,131835.594315066
1450Veh,137.51335144043,59407.2714834268,135586.341784795,138551.158010638,135293.123786447
1450Veh,139.346862792969,61002.0266823596,139033.710056793,142120.439262173,138733.49194051
1450Veh,141.180374145508,62617.9044667089,142863.636220261,146079.556112589,142547.309709584
1450Veh,143.013885498047,64254.9048364744,146115.378297757,149450.324242835,145798.563167784
1450Veh,144.847396850586,65913.0277916563,149680.122286456,153144.456922466,149362.31032833
1450Veh,146.680908203125,67592.2733322545,153227.477280088,156841.100549958,152924.047396758
1450Veh,148.514419555664,69292.641458269,156766.137776187,160521.084105259,156470.229611992
1450Veh,150.347930908203,71014.1321696998,160389.348710413,164230.520632765,160034.342752108
1450Veh,152.181442260742,72756.745466547,164114.954522425,168103.951409214,163763.63076096
1450Veh,154.014953613281,74520.4813488105,167886.566107283,171981.902850012,167501.109531786
1450Veh,155.84846496582,76305.3398164904,171708.672120773,175989.106187468,171336.676232384
1450Veh,157.681976318359,78111.3208695866,175629.448020611,180007.251438484,175209.554733091
1450Veh,159.515487670898,79938.4245080991,179411.308974582,183975.064224626,179032.924816312
1450Veh,161.348999023438,81786.6507320279,183009.75403933,187772.209350964,182700.910715227
1450Veh,163.182510375977,83655.999541373,186918.09991656,191877.753326374,186633.385834166
1450Veh,165.016021728516,85546.4709361345,190682.947466077,195933.024415579,190532.448574266
1450Veh,166.849533081055,87458.0649163124,194667.105591503,200083.365233877,194512.65425103
1450Veh,168.683044433594,89390.7814819065,198530.307817413,204156.212942196,198436.234530299
