sample,gene,group,x,y,qv,is_gene,transcript_id,cell_id,sample_order,group_order
1450Veh,Smad3,Smad3,163.15625,2148.875,25,TRUE,281509336523268,llpkjinm-1,1,1
1450Veh,Smad3,Smad3,192.625,2068.03125,40,TRUE,281509336525672,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,197.25,2317.671875,40,TRUE,281543696357346,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,203.40625,2130.375,40,TRUE,281509336686950,lmaepknb-1,1,1
1450Veh,Smad3,Smad3,235.53125,2119.578125,40,TRUE,281509336645511,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,251.9375,1919.203125,38.25,TRUE,281509336526532,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,273.53125,2170.8125,40,TRUE,281509336526940,lppnpfjp-1,1,1
1450Veh,Smad3,Smad3,290.359375,2095.625,34.25,TRUE,281509336527179,lojcfina-1,1,1
1450Veh,Smad3,Smad3,301.328125,2075.859375,40,TRUE,281509336645733,lofjjhgk-1,1,1
1450Veh,Smad3,Smad3,325.25,2253.921875,33.25,TRUE,281543696357699,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,329.671875,2198.609375,40,TRUE,281543696357711,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,339.015625,2289.796875,34.25,TRUE,281543696357733,maanbilg-1,1,1
1450Veh,Smad3,Smad3,341.421875,2099.640625,32.75,TRUE,281509336523484,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,372.578125,2228,40,TRUE,281543696357829,lpnmfcib-1,1,1
1450Veh,Smad3,Smad3,396.375,2057.671875,34.75,TRUE,281509336528309,ognjhiba-1,1,1
1450Veh,Smad3,Smad3,398.09375,1456.671875,33.5,TRUE,281509336710014,kpjeljee-1,1,1
1450Veh,Smad3,Smad3,400.28125,2055.734375,40,TRUE,281509336646055,ognjhiba-1,1,1
1450Veh,Smad3,Smad3,444.25,2070.78125,40,TRUE,281509336529227,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,449.609375,1697.453125,40,TRUE,281509336529348,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,460.71875,2256.59375,40,TRUE,281543696238390,lphjcjbg-1,1,1
1450Veh,Smad3,Smad3,462.25,2020.828125,34,TRUE,281509336529756,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,465.84375,2169.96875,33.75,TRUE,281509336604022,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,476.265625,2263.3125,40,TRUE,281543696296015,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,488.359375,2097.25,40,TRUE,281509336523717,lblnmeac-1,1,1
1450Veh,Smad3,Smad3,489.265625,2159.5,40,TRUE,281509336523723,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,489.375,1993.6875,40,TRUE,281509336530813,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,490.015625,2011.359375,33.75,TRUE,281509336710217,lbedeobg-1,1,1
1450Veh,Smad3,Smad3,491.78125,1796.09375,34.25,TRUE,281509336687578,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,501.390625,1662.609375,35,TRUE,281509336604145,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,504.40625,1970.6875,30.25,TRUE,281509336687628,lepeondf-1,1,1
1450Veh,Smad3,Smad3,504.578125,2490.4375,40,TRUE,281543696242411,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,506.984375,2053.78125,34.25,TRUE,281509336687643,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,509.609375,1679,36.75,TRUE,281509336531614,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,509.734375,2012.6875,40,TRUE,281509336531619,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,533.5,1856.578125,40,TRUE,281509336532498,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,546.9375,2204.984375,40,TRUE,281543696242991,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,563.484375,2070.109375,40,TRUE,281509336533517,UNASSIGNED,1,1
1450Veh,Smad3,Smad3,569.75,2303.75,28.5,TRUE,281543696238506,mcbiajle-1,1,1
