sample,gene,group,x,y,qv,is_gene,transcript_id,cell_id,sample_order,group_order
1450Veh,Agtr1a,SMAD3_Pos,118.5,2067.59375,40,TRUE,281509336545257,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,229.734375,2205.96875,40,TRUE,281543696193665,llmglpch-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,244.40625,2182.328125,40,TRUE,281543696221856,llibhfhm-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,301.375,2075.171875,40,TRUE,281509336457866,lofjjhgk-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,301.390625,2098.671875,26.75,TRUE,281509336502775,loindnho-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,305.359375,2096.59375,40,TRUE,281509336640197,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,306.484375,2192.828125,40,TRUE,281543696246829,madkonbo-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,407.4375,2224.234375,40,TRUE,281543696208157,mbcdiiop-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,437.03125,2073.078125,40,TRUE,281509336640774,lbflhnlj-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,439.78125,2070.25,40,TRUE,281509336459653,lbflhnlj-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,460.5,2443.59375,34.75,TRUE,281543696254826,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,475.625,2065.140625,40,TRUE,281509336504989,lbbjhahb-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,532.234375,2199.84375,40,TRUE,281543696225826,mcoednig-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,533.921875,2148.46875,40,TRUE,281509336506633,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,557.484375,2081.34375,40,TRUE,281509336507193,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,584.03125,2051.03125,40,TRUE,281509336507830,UNASSIGNED,1,2
1450Veh,Agtr1a,SMAD3_Pos,623.140625,2084.6875,40,TRUE,281509336460474,leckoklp-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,639.640625,2394.296875,34.25,TRUE,281547991203302,loclhnki-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,695.890625,2092.515625,40,TRUE,281513631460973,meohabef-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,699.65625,2312.71875,40,TRUE,281547991204252,melbmgka-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,700.828125,1832.140625,40,TRUE,281513631423253,moklimnm-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,706.671875,1846.09375,40,TRUE,281513631461190,mmnnabeh-1,1,2
1450Veh,Agtr1a,SMAD3_Pos,708.8125,1810.59375,27.75,TRUE,281513631441795,mojnlnma-1,1,2
