"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module","cluster"
0,-0.646225023509565,1,1,0,"green","FAP1"
1.13691701900798e-283,0.550455557653477,0.999,0.999,1.25060872090878e-282,"red","FAP1"
2.48444119959571e-210,-0.415552684318755,1,1,2.73288531955529e-209,"turquoise","FAP1"
1.43031699654995e-161,0.489264917908558,0.997,0.997,1.57334869620494e-160,"brown","FAP1"
5.26489594587922e-158,1.33855759899509,0.799,0.627,5.79138554046714e-157,"blue","FAP1"
5.08988300089612e-132,-0.264031034225049,1,1,5.59887130098573e-131,"purple","FAP1"
4.09125037081296e-116,0.309411442073897,1,1,4.50037540789425e-115,"greenyellow","FAP1"
4.98718738525577e-92,0.851800812049913,0.537,0.35,5.48590612378135e-91,"yellow","FAP1"
2.19943183170652e-80,-0.336630383566023,0.997,0.996,2.41937501487717e-79,"magenta","FAP1"
5.37243465518893e-38,-0.0677690927205992,1,1,5.90967812070783e-37,"pink","FAP1"
7.76440344280797e-32,-0.518708550003416,0.71,0.746,8.54084378708876e-31,"black","FAP1"
5.89855599819184e-64,-0.811616023814303,1,1,6.48841159801103e-63,"green","FAP2"
2.91748124219187e-62,0.667053448089438,1,0.998,3.20922936641106e-61,"brown","FAP2"
2.73776631895681e-38,-0.55181829370026,0.997,1,3.01154295085249e-37,"turquoise","FAP2"
2.5834513781447e-30,0.369230061104614,1,1,2.84179651595917e-29,"greenyellow","FAP2"
2.39081537708353e-29,0.464838280378617,1,1,2.62989691479189e-28,"red","FAP2"
3.72518066453179e-20,-0.424942410621191,1,1,4.09769873098496e-19,"magenta","FAP2"
8.70926711565113e-20,-2.46062443455111,0.754,0.815,9.58019382721625e-19,"black","FAP2"
6.67422515652453e-17,-0.279263045852175,1,1,7.34164767217698e-16,"purple","FAP2"
3.02235320112145e-09,0.644898043304764,0.763,0.614,3.3245885212336e-08,"yellow","FAP2"
0.00261604254959545,0.401957446697018,0.585,0.498,0.0287764680455499,"blue","FAP2"
0.0140035672603452,-0.0403033798777637,1,1,0.154039239863797,"pink","FAP2"
4.24720894607282e-77,-0.993098610714122,1,1,4.6719298406801e-76,"green","FAP3"
1.0584587719369e-44,0.554398355030306,1,1,1.16430464913059e-43,"red","FAP3"
3.88838027955247e-42,1.49186283603739,0.819,0.481,4.27721830750771e-41,"yellow","FAP3"
4.46833497410421e-39,0.491595110469476,1,0.998,4.91516847151463e-38,"brown","FAP3"
3.01744293476993e-36,-0.373331812373559,1,1,3.31918722824692e-35,"purple","FAP3"
1.48549809469779e-22,0.00575379712962265,1,1,1.63404790416757e-21,"pink","FAP3"
9.47828111790344e-22,-0.427189411390647,1,1,1.04261092296938e-20,"turquoise","FAP3"
4.2076096268367e-18,0.950161874254484,0.775,0.573,4.62837058952037e-17,"blue","FAP3"
3.67975689684872e-16,-0.295871583800242,1,1,4.04773258653359e-15,"magenta","FAP3"
5.90439736640578e-06,0.149643955858249,1,1,6.49483710304636e-05,"greenyellow","FAP3"
0.100989617340023,-0.293894859931107,0.835,0.793,1,"black","FAP3"
4.64325983343534e-19,4.01926587631205,1,0.931,5.10758581677887e-18,"yellow","FAP4"
5.26745308019739e-17,1.94035314437992,1,1,5.79419838821712e-16,"brown","FAP4"
2.73023500912132e-14,-1.53579000854953,0.984,1,3.00325851003345e-13,"turquoise","FAP4"
4.11795479323919e-14,1.32415368346123,1,1,4.5297502725631e-13,"green","FAP4"
4.05106536612388e-09,0.685130929225551,1,1,4.45617190273627e-08,"greenyellow","FAP4"
2.75998576368057e-06,-0.681501838608625,0.991,1,3.03598434004863e-05,"black","FAP4"
4.04875023193297e-05,0.579500553144219,1,1,0.000445362525512627,"red","FAP4"
0.000707145188398773,1.97083860339115,0.669,0.379,0.00777859707238651,"blue","FAP4"
0.0541182700486519,-0.347823890967906,1,1,0.595300970535171,"magenta","FAP4"
0.531401837965542,-0.215396590179773,1,1,1,"pink","FAP4"
0.734180171127176,-0.0346546076769987,0.998,1,1,"purple","FAP4"
