"","TF","target_gene","reg_score","reg_score_signed","Cor","Cover","Frequency","avg_log2FC_deg","p_val_adj_deg","avg_log2FC_positive","p_val_adj_positive","avg_log2FC_negative","p_val_adj_negative","module","kME","direction","peak_region","peak_score","peak_z","peak_pval","n_linkpeaks_tests","peak_pval_bonferroni"
"1","ETS2","SMAD3",0.191093066660596,0.191093066660596,0.491463080550786,0.042,0.042,0.776877394547715,3.48268709296274e-06,0.326834201485897,9.29395283596418e-29,-0.503586017452476,4.93675314713244e-33,"brown",0.284967752150019,"Aged_up","chr15-67109227-67110381",0.0685089720403111,5.07039863416899,1.98491655330818e-07,200,3.96983310661636e-05
"2","ETS2","SMAD3",0.191093066660596,0.191093066660596,0.491463080550786,0.042,0.042,0.776877394547715,3.48268709296274e-06,0.326834201485897,9.29395283596418e-29,-0.503586017452476,4.93675314713244e-33,"brown",0.284967752150019,"Aged_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
"3","ETS1","SMAD3",0.0857267774920293,0.0857267774920293,0.36837144382592,0.022,0.022,0.438684028709553,0.000848948572320233,0.247205522902793,3.18549142220526e-21,-0.269257742545269,7.42225994705788e-07,"brown",0.551630344765995,"Aged_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
"4","ETV6","SMAD3",0.0844201159663565,0.0844201159663565,0.432707318351457,0.042,0.042,0.617487468892835,0.0120489557535975,0.454276923208262,6.06890012008811e-44,-0.187826891590457,0.472850128087049,"red",0.313387790754538,"Aged_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
"5","FOS","SMAD3",0.0619043640108498,-0.0619043640108498,-0.350359165705771,0.086,0.086,-1.11945803742733,4.74012556310382e-16,-0.289247473797365,4.40824376478798e-19,0.417725786157256,6.11578414259694e-36,"magenta",0.761067101310413,"Young_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"6","FOS","SMAD3",0.0619043640108498,-0.0619043640108498,-0.350359165705771,0.086,0.086,-1.11945803742733,4.74012556310382e-16,-0.289247473797365,4.40824376478798e-19,0.417725786157256,6.11578414259694e-36,"magenta",0.761067101310413,"Young_up","chr15-67109227-67110381",0.0685089720403111,5.07039863416899,1.98491655330818e-07,200,3.96983310661636e-05
"7","BACH2","SMAD3",0.0333022358057694,-0.0333022358057694,-0.137971770094888,0.062,0.062,-0.68780172202096,2.09950050477507e-06,-0.256999955288292,6.69656897970221e-15,0.787391990583165,1.46204710111105e-53,"brown",0.0892195359971761,"Young_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"8","ELF1","SMAD3",0.00844506612496541,-0.00844506612496541,-0.00689465796215476,0.036,0.036,-0.410198889952153,2.37145816236617e-05,-0.184458099889611,1.38581088809999e-16,0.469967732096064,2.39939074318285e-48,"brown",0.168300566705009,"Young_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"9","ELF1","SMAD3",0.00844506612496541,-0.00844506612496541,-0.00689465796215476,0.036,0.036,-0.410198889952153,2.37145816236617e-05,-0.184458099889611,1.38581088809999e-16,0.469967732096064,2.39939074318285e-48,"brown",0.168300566705009,"Young_up","chr15-67109227-67110381",0.0685089720403111,5.07039863416899,1.98491655330818e-07,200,3.96983310661636e-05
"10","ELF1","SMAD3",0.00844506612496541,-0.00844506612496541,-0.00689465796215476,0.036,0.036,-0.410198889952153,2.37145816236617e-05,-0.184458099889611,1.38581088809999e-16,0.469967732096064,2.39939074318285e-48,"brown",0.168300566705009,"Young_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
