chrom	start	end	value
chr15	66921817	66921963	1.00783
chr15	66921963	66922353	1.55505
chr15	66922353	66922402	2.32836
chr15	66922402	66922422	3.28096
chr15	66922422	66922895	3.44281
chr15	66922895	66922946	3.54749
chr15	66922946	66923217	3.62867
chr15	66923217	66923226	3.61027
chr15	66923226	66923354	3.59906
chr15	66923354	66923403	3.60242
chr15	66923403	66923872	7.33226
chr15	66923872	66924560	6.9505
chr15	66924560	66924801	6.90499
chr15	66924801	66924849	6.87911
chr15	66924849	66924934	6.87806
chr15	66924934	66925163	5.51173
chr15	66925163	66925314	4.69849
chr15	66925314	66925452	2.84728
chr15	66925452	66925636	2.10841
chr15	66925636	66925788	1.83549
chr15	66925788	66925929	1.73387
chr15	66925929	66926935	2.28093
chr15	66926935	66927128	4.19472
chr15	66927128	66927194	4.28186
chr15	66927194	66927898	4.31053
chr15	66927898	66928241	4.35671
chr15	66928241	66928469	4.0153
chr15	66928469	66928488	3.55969
chr15	66928488	66928510	2.93023
chr15	66928510	66928543	2.24452
chr15	66928543	66929030	2.03023
chr15	66929030	66930090	1.96702
chr15	66930090	66930690	9.72119
chr15	66930690	66930862	9.74149
chr15	66930862	66931061	8.41978
chr15	66931061	66931111	1.93027
chr15	66931111	66933460	1.86735
chr15	66933460	66933803	1.85598
chr15	66933803	66933908	1.82018
chr15	66933908	66933957	1.81758
chr15	66933957	66934883	0.300024
chr15	66934883	66935768	0.270254
chr15	66935768	66936652	0.255449
chr15	66936652	66936908	0.250596
chr15	66936908	66937597	0.251232
chr15	66937597	66938124	0.266068
chr15	66938124	66938272	0.295498
chr15	66938272	66938442	0.314487
chr15	66938442	66938665	0.624287
chr15	66938665	66939528	2.45971
chr15	66939528	66940018	2.32458
chr15	66940018	66940073	2.63631
chr15	66940073	66941084	2.65144
chr15	66941084	66941399	2.65906
chr15	66941399	66942153	2.62634
chr15	66942153	66942814	2.36634
chr15	66942814	66943809	2.03482
chr15	66943809	66946530	2.0255
chr15	66946530	66946826	1.70308
chr15	66946826	66946938	0.443447
chr15	66946938	66953605	11.2499
chr15	66953605	66954426	13.8027
chr15	66954426	66961485	0.349488
chr15	66961485	66962783	0.348523
chr15	66962783	66962927	0.348346
chr15	66962927	66964299	0.347625
chr15	66964299	66966328	0.36704
chr15	66966328	66967308	7.66475
chr15	66967308	66967398	21.2531
chr15	66967398	66968793	21.218
chr15	66968793	66969374	9.69893
chr15	66969374	66970271	9.54054
chr15	66970271	66970564	9.3562
chr15	66970564	66970760	12.0914
chr15	66970760	66971789	15.626
chr15	66971789	66972719	18.6582
chr15	66972719	66972875	21.2065
chr15	66972875	66973767	21.2115
chr15	66973767	66976250	12.3016
chr15	66976250	66976554	12.2157
chr15	66976554	66976923	12.2149
chr15	66976923	66977804	12.2142
chr15	66977804	66979185	12.2133
chr15	66979185	66979198	12.2133
chr15	66979198	66979247	12.2128
chr15	66979247	66979985	4.28811
chr15	66979985	66981329	3.08006
chr15	66981329	66981440	1.41744
chr15	66981440	66982104	1.41671
chr15	66982104	66983982	1.41636
chr15	66983982	66984595	1.41585
chr15	66984595	66984920	1.41491
chr15	66984920	66986527	1.41575
chr15	66986527	66986689	1.41605
chr15	66986689	66989515	1.41605
chr15	66989515	66990133	1.14185
chr15	66990133	66990159	0.856361
chr15	66990159	66990232	0.856332
chr15	66990232	66990423	0.635329
chr15	66990423	66990531	0.507095
chr15	66990531	66991665	0.507089
chr15	66991665	66992254	0.506743
chr15	66992254	66994238	0.0242166
chr15	66994238	66997087	0.0245014
chr15	66997087	66998610	0.0290414
chr15	66998610	66998809	0.0340834
chr15	66998809	66999828	0.0409658
chr15	66999828	67001679	0.125023
chr15	67001679	67001710	0.216839
chr15	67001710	67004334	0.545326
chr15	67004334	67004538	0.83554
chr15	67004538	67004646	1.12432
chr15	67004646	67008708	0.98073
chr15	67008708	67008737	0.836485
chr15	67008737	67008995	0.806233
chr15	67008995	67010076	1.01118
chr15	67010076	67010122	1.26222
chr15	67010122	67010990	0.612533
chr15	67010990	67011980	6.16215
chr15	67011980	67012137	0.0278059
chr15	67012137	67013764	0.0253665
chr15	67013764	67013795	0.0242303
chr15	67013795	67013821	0.0238159
chr15	67013821	67014167	0.0238159
chr15	67014167	67014378	0.0237018
chr15	67014378	67014418	0.0234913
chr15	67014418	67014528	0.0235738
chr15	67014528	67014591	0.0237913
chr15	67014591	67014742	0.0245463
chr15	67014742	67014887	0.0275601
chr15	67014887	67014992	0.0361486
chr15	67014992	67015210	0.0873241
chr15	67015210	67015485	0.256313
chr15	67015485	67015660	0.311794
chr15	67015660	67018180	0.312123
chr15	67018180	67019074	0.311038
chr15	67019074	67019313	0.309008
chr15	67019313	67019948	0.302073
chr15	67019948	67020138	0.291854
chr15	67020138	67020568	0.28483
chr15	67020568	67021608	0.282903
chr15	67021608	67021996	0.278745
chr15	67021996	67022403	0.259645
chr15	67022403	67022470	0.237426
chr15	67022470	67023845	0.237426
chr15	67023845	67023914	0.103655
chr15	67023914	67026217	0.101606
chr15	67026217	67026740	0.101606
chr15	67026740	67026861	0.101218
chr15	67026861	67026879	0.101218
chr15	67026879	67028795	0.103563
chr15	67028795	67029307	0.106403
chr15	67029307	67030031	0.110902
chr15	67030031	67030166	0.1158
chr15	67030166	67030866	0.11884
chr15	67030866	67033151	0.120403
chr15	67033151	67033421	0.12146
chr15	67033421	67034951	0.16379
chr15	67034951	67035153	1.69549
chr15	67035153	67035859	0.14294
chr15	67035859	67036062	0.149257
chr15	67036062	67036441	0.131236
chr15	67036441	67036982	0.131001
chr15	67036982	67038656	0.224615
chr15	67038656	67038912	0.652168
chr15	67038912	67040159	1.14007
chr15	67040159	67041110	51.3386
chr15	67041110	67041365	51.344
chr15	67041365	67041717	87.3055
chr15	67041717	67043207	1.30055
chr15	67043207	67046450	1.30655
chr15	67046450	67046796	1.30132
chr15	67046796	67047870	0.985997
chr15	67047870	67048358	0.750411
chr15	67048358	67049456	0.701346
chr15	67049456	67049507	0.662959
chr15	67049507	67049736	0.639583
chr15	67049736	67049880	0.637397
chr15	67049880	67050628	0.62152
chr15	67050628	67051257	0.619855
chr15	67051257	67052396	0.619107
chr15	67052396	67052823	1.1529
chr15	67052823	67053986	1.34657
chr15	67053986	67054073	1.44648
chr15	67054073	67054214	1.59236
chr15	67054214	67054561	4.36266
chr15	67054561	67054949	3.12571
chr15	67054949	67054961	1.89719
chr15	67054961	67055046	1.58485
chr15	67055046	67055081	1.26673
chr15	67055081	67055121	0.946103
chr15	67055121	67056039	0.946304
chr15	67056039	67056571	0.952213
chr15	67056571	67057060	0.982695
chr15	67057060	67057161	1.03069
chr15	67057161	67059259	1.3391
chr15	67059259	67059689	1.59724
chr15	67059689	67060856	3.33337
chr15	67060856	67061435	2.3268
chr15	67061435	67061467	1.34325
chr15	67061467	67063327	0.412751
chr15	67063327	67066563	0.38283
chr15	67066563	67067795	0.387529
chr15	67067795	67068166	0.395301
chr15	67068166	67068582	0.409614
chr15	67068582	67070745	0.46956
chr15	67070745	67072719	0.468828
chr15	67072719	67074657	0.500147
chr15	67074657	67074915	0.530036
chr15	67074915	67074943	0.56261
chr15	67074943	67075894	0.58694
chr15	67075894	67076371	0.58456
chr15	67076371	67076947	0.570427
chr15	67076947	67077658	0.561229
chr15	67077658	67078119	0.544514
chr15	67078119	67078165	0.543966
chr15	67078165	67078484	0.519088
chr15	67078484	67079851	0.505114
chr15	67079851	67080623	0.505107
chr15	67080623	67080645	0.505006
chr15	67080645	67081843	0.504298
chr15	67081843	67083195	0.504471
chr15	67083195	67083283	0.503392
chr15	67083283	67084241	0.566368
chr15	67084241	67084685	0.79467
chr15	67084685	67086624	3.70688
chr15	67086624	67087152	3.28606
chr15	67087152	67088399	1.19774
chr15	67088399	67089931	1.07637
chr15	67089931	67090278	1.03402
chr15	67090278	67090303	0.981673
chr15	67090303	67090870	0.531696
chr15	67090870	67091032	0.407729
chr15	67091032	67091543	0.405865
chr15	67091543	67091935	0.408055
chr15	67091935	67091989	0.40927
chr15	67091989	67092330	0.416314
chr15	67092330	67093543	25.9797
chr15	67093543	67093631	26.7975
chr15	67093631	67093655	26.8034
